mal_id,title_hint,type,status,airing,score,scored_by,members,popularity,season,year,endpoint,page,accepted_by_project_rules,acceptance_reason,source
62883,Bungou Stray Dogs Wan 2,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
63468,Ushiro no Shoumen Kamui-san,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
62051,Grow Up Show  Himawari no Circus-dan,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
63100,Tetsunabe no Jan,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
63324,Iwamoto-senpai no Suisen,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
62430,BanG Dream Yume∞Mita,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
56613,Azur Lane  Bisoku Zenshin Ni,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
62683,Lets Go Kaiki-gumi,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
63878,Migawari Reijou wo Sukutta no wa Reikoku Mujihi na Koori no Ouji no Ai deshita,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
63514,Perfect Addiction,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
63802,Mebius Dust,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
63418,Thunder 3,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
63047,Yoroi Shin Den Samurai Troopers Part 2,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
62031,Honoo no Toukyuujo  Dodge Danko,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
64435,Yami Shibai 17,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
64378,Hokuto no Ken  Kenougun Zako-tachi no Banka Part 2,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
63641,Planosaurus Gachi Koseibutsu-bu,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
64210,Pan no Akachan TV,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
63219,Aware Meisaku-kun 2026,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
64357,Tomica to Tom TV Season 2,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
64578,Chikyuu Daisuki Kikkun,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
21,One Piece,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
235,Meitantei Conan,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
61316,Re Zero kara Hajimeru Isekai Seikatsu 4th Season,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
59970,Tensei shitara Slime Datta Ken 4th Season,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
62001,Yomi no Tsugai,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
966,Crayon Shin-chan,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
60310,Mairimashita Iruma-kun 4th Season,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
57466,Honzuki no Gekokujou  Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen - Ryoushu no Youjo,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
62331,Liar Game,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
53876,Pokemon 2023,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
62171,Kuroneko to Majo no Kyoushitsu,,,,,,0,999999999,summer,2026,https://myanimelist.net/anime/season,,True,mal_season_html_id_discovery,mal_html
