mal_id,title,type,score,members,popularity,genres,in_degree,out_degree,weighted_in_degree,weighted_out_degree,pagerank,hub_score,authority_score,pagerank_rank,members_rank,score_rank
57362,Hoshifuru Oukoku no Nina,TV,7.4,70570,2986,Drama|Fantasy|Romance,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,2967.0,2619.0
57371,Mingyun Quan Tai,ONA,7.27,1900,12853,Action|Drama|Mecha|Sci-Fi,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,11992.0,3291.0
57380,Isekai Yururi Kikou: Kosodate shinagara Boukensha shimasu,TV,6.67,100115,2403,Adventure|Fantasy|Slice of Life,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,2399.0,7066.0
57391,Astro Note,TV,6.54,34806,4390,Comedy|Romance|Sci-Fi,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,4316.0,7990.0
57422,Cong Hong Yue Kaishi,ONA,7.15,1514,13632,Horror|Psychological|Sci-Fi|Supernatural,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,12579.0,4072.0
33775,Soul Buster,TV,5.72,22457,5291,Action,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,5183.0,12977.0
13835,Marimo no Hana: Saikyou Butouha Shougakusei Densetsu,OVA,5.05,4791,9714,Action,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,9302.0,14897.0
33777,Yodomi no Sawagi,Movie,5.8,1261,14387,Drama|Psychological,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,13054.0,12606.0
33788,Marginal#4: Kiss kara Tsukuru Big Bang,TV,6.64,17904,5781,Comedy|Music|Slice of Life,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,5648.0,7282.0
57192,Yeosin Gangnim,ONA,6.59,31222,4610,Drama|Romance,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,4532.0,7642.0
57217,Katsute Mahou Shoujo to Aku wa Tekitai shiteita.,TV,7.55,106861,2293,Comedy|Fantasy|Mahou Shoujo|Romance,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,2294.0,1942.0
57283,"Mitasarete Mezameru Asa ni, Jimi na Choushoku wo The Animation",OVA,7.0,5478,9281,Hentai,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,8903.0,4942.0
57315,"Meitou ""Isekai no Yu"" Kaitakuki: Around 40 Onsen Mania no Tensei Saki wa, Nonbiri Onsen Tengoku deshita",TV,5.22,45595,3817,Fantasy,0,0,0.0,0.0,1.3655950645470218e-05,0.0,0.0,10184,3784.0,14627.0
