mal_id,title,type,score,members,popularity,genres,in_degree,out_degree,weighted_in_degree,weighted_out_degree,pagerank,hub_score,authority_score,pagerank_rank,members_rank,score_rank
881,Green Green OVA,OVA,5.93,28832,4771,Comedy|Ecchi|Romance,1,1,5.0,5.0,1.5833789171347143e-05,4.116496674835648e-11,3.267894311070953e-11,12369,4682.0,11919.0
38251,"Sono Toki, Kanojo wa.",TV,5.66,16156,6010,Drama|Romance|Slice of Life,4,4,6.0,6.0,1.583350186695761e-05,1.33356241592425e-07,1.5493998031937615e-07,12370,5861.0,13274.0
31923,Mini Hama: Minimum Hamatora Movies,Movie,5.98,3240,11026,Comedy|Mystery,3,2,6.0,4.0,1.5833345001334107e-05,1.508968341230516e-12,1.2109033985479573e-09,12371,10454.0,11648.0
35609,Entotsu Machi no Poupelle,Movie,6.61,7619,8135,Fantasy,5,12,9.0,19.0,1.5831189125784076e-05,3.6200243413396765e-06,2.7411341658626776e-08,12372,7850.0,7495.0
35238,Dainiji Ura Nyuugakushiken The Animation,OVA,6.12,6641,8603,Hentai,2,2,2.0,2.0,1.583013024356717e-05,1.0647562241284987e-15,1.1063523499480011e-15,12373,8290.0,10841.0
59118,Reginetta-san no Bouken,OVA,5.71,2399,12143,Hentai,1,1,2.0,2.0,1.5822236173591377e-05,5.598138573374972e-16,6.198907663938703e-16,12374,11381.0,13020.0
13403,Inu x Boku SS: Miketsukami-kun Henka/Switch/Omamagoto,Special,7.51,95350,2479,Comedy|Mystery|Supernatural,2,4,13.0,17.0,1.5820512746950514e-05,2.45046569413485e-08,1.2702865879785304e-08,12375,2469.0,2118.0
40372,Haikyuu!! (OVA),OVA,7.8,36490,4301,Sports,2,2,8.0,11.0,1.5818654328793463e-05,3.3894957246106054e-08,2.0812445446131652e-08,12376,4228.0,1150.0
30145,Harukanaru Toki no Naka de: Hachiyou Shou Recap,Special,6.07,1122,14898,Fantasy|Romance,2,3,5.0,14.0,1.580720839379465e-05,5.523839197661449e-09,2.903912085736062e-09,12377,13375.0,11158.0
51473,Arifureta Shokugyou de Sekai Saikyou: Maboroshi no Bouken to Kiseki no Kaigou,OVA,7.16,45279,3844,Action|Adventure|Fantasy|Psychological,12,16,22.0,34.0,1.5804758622946437e-05,9.50672643295982e-09,2.019135285852431e-09,12378,3796.0,3994.0
5072,Dragonaut: The Resonance - Kotou - Tozasareta Kyousou,Special,6.75,10191,7245,Action|Mecha|Romance|Sci-Fi,1,1,6.0,9.0,1.5802094754439133e-05,1.2912082484694317e-10,1.3902985420845654e-10,12379,7015.0,6467.0
37034,Drifters: Kokuou-sama Goranshin,Special,5.6,5987,8976,Comedy,3,4,14.0,60.0,1.579933929131185e-05,3.0660315413214954e-08,1.0969465614191109e-09,12380,8630.0,13534.0
37046,Drifters (OVA): Kokuou-sama Goranshin,Special,6.38,8238,7883,Comedy,3,4,14.0,60.0,1.579933929131185e-05,2.9761227446215518e-08,1.0991433666223268e-09,12380,7606.0,9164.0
3991,Mahou Shoujo-tai Arusu the Adventure,OVA,6.7,6248,8785,Adventure|Comedy|Fantasy,3,5,8.0,13.0,1.5793056650916735e-05,6.734969125446293e-08,3.777140396657787e-09,12382,8465.0,6821.0
14875,Eureka Seven AO: Jungfrau no Hanabana-tachi,OVA,6.24,11596,6867,Action|Adventure|Drama|Mecha|Sci-Fi,1,2,6.0,10.0,1.5792174204606978e-05,1.8101266836043344e-09,4.0794774012627965e-10,12383,6659.0,10096.0
36888,Chikatetsu ni Noru,Special,5.44,970,15469,Slice of Life,1,1,1.0,1.0,1.5789420757785148e-05,5.866029974348849e-12,2.416118482666532e-12,12384,13708.0,14083.0
