staff_name,staff_id_anilist,staff_favorites_mal,staff_favorites_anilist,staff_favorites,anime_count,original_creator_count,director_count,original_character_design_count,staff_roles,anime_ids,anime_titles
"Shinbou, Akiyuki",100089,10022,3505,10022,58,0,58,0,Director,76|176|490|514|773|1048|1100|1175|1245|1386|1546|1618|1619|1671|1732|1770|2057|2474|2605|2693|2917|2935|2982|3165|3228|3398|3604|3674|4188|4872|5030|5081|5419|5597|6050|6377|6712|6984|7044|7062|7135|7647|8317|9074|9379|9563|9712|9756|10469|10628|11237|11239|11597|14515|17739|31646|35180|36999,Mahou Shoujo Lyrical Nanoha|Triangle Heart: Sweet Songs Forever|Paniponi Dash!|Cossette no Shouzou|Tenamonya Voyagers|The SoulTaker: Tamashii-gari|Soreyuke! Uchuu Senkan Yamamoto Youko|Metal Fighter Miku|Shihaisha no Tasogare|Blood Royale|Negima!?|Soreyuke! Uchuu Senkan Yamamoto Youko (1999)|Negima!? Haru Special!?|Soreyuke! Uchuu Senkan Yamamoto Youko II|Negima!? Natsu Special!?|Unbalance|Ojousama Sousamou|Ginga Ojousama Densetsu Yuna: Shinen no Fairy|Sayonara Zetsubou Sensei|Detatoko Princess|Seijun Kango Gakuin|Ryokan Shirasagi|Yuuwaku|Hidamari Sketch Specials|Zoku Sayonara Zetsubou Sensei
"Sorachi, Hideaki",96904,9544,2863,9544,25,25,0,0,Original Creator,918|2951|6945|7472|9735|9969|10643|15335|15417|21899|25313|28977|32122|32366|34096|35843|36838|37491|39486|40323|44087|54757|56544|58091|59688,Gintama|Gintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga Choudoyoi|Gintama: Shiroyasha Koutan|Gintama Movie 1: Shinyaku Benizakura-hen|Gintama: Shinyaku Benizakura-hen|Gintama'|Gintama: Dai Hanseikai|Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare|Gintama': Enchousen|Gintama: Yorinuki Gintama-san on Theater 2D|Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru|Gintama°|Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue|Gintama°: Aizome Kaori-hen|Gintama.|Gintama. Porori-hen|Gintama. Shirogane no Tamashii-hen|Gintama. Shirogane no Tamashii-hen - Kouhan-sen|Gintama: The Final|Gintama: Monster Strike-hen|Gintama: The Semi-Final|3-nen Z-gumi Ginpachi-sensei|Gintama on Theater 2D: Baragaki-hen|Gintama on Theater 2D: Ikkoku Keisei-hen|Gintama on Theater 2D: Kintama-hen
"Kubo, Tite",96880,9043,3256,9043,14,13,0,1,Original Creator|Original Character Design,269|762|834|1686|2889|4835|8247|35118|40403|41467|41468|53998|56671|56784,Bleach|Bleach: Memories in the Rain|Bleach: The Sealed Sword Frenzy|Bleach Movie 1: Memories of Nobody|Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru|Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu|Bleach Movie 4: Jigoku-hen|Bleach KaraBuri!: Gotei Juusan Yatai Daisakusen!|Shin Sakura Taisen the Animation|Bleach: Sennen Kessen-hen|Burn the Witch|Bleach: Sennen Kessen-hen - Ketsubetsu-tan|Burn the Witch #0.8|Bleach: Sennen Kessen-hen - Soukoku-tan
"Eguchi, Takuya",102695,8686,3236,8686,1,0,0,1,Original Character Design,58926,Egumi Legacy
"Ishida, Sui",110753,8500,4616,8500,6,6,0,0,Original Creator,22319|27899|30458|31297|36511|37799,"Tokyo Ghoul|Tokyo Ghoul √A|Tokyo Ghoul: ""Jack""|Tokyo Ghoul: ""Pinto""|Tokyo Ghoul:re|Tokyo Ghoul:re 2nd Season"
"Maeda, Jun",97347,8446,2059,8446,8,8,0,0,Original Story|Original Creator,675|4181|6547|9062|10067|28999|35960|41930,One: Kagayaku Kisetsu e|Clannad: After Story|Angel Beats!|Angel Beats! Specials|Angel Beats! Another Epilogue|Charlotte|Kud Wafter|Kamisama ni Natta Hi
CLAMP,96877,8323,2795,8323,67,35,0,34,Original Creator|Original Character Design,52|59|155|156|177|232|371|372|435|439|595|596|793|807|861|969|1043|1078|1496|1563|1575|1844|1953|1954|2424|2685|2727|2904|3091|3863|4879|4918|4938|5163|5678|6864|8728|8888|10490|10681|12685|15197|15199|15201|30711|33155|33156|33354|33840|34437|34438|34439|34440|35156|35320|38372|42516|48862|49210|49819|49820|52079|54142|54143|54144|54145|56835,"Kidou Tenshi Angelic Layer|Chobits|X/1999|X|Tsubasa Chronicle|Cardcaptor Sakura|Cardcaptor Sakura Movie 1|Cardcaptor Sakura Movie 2: Fuuin Sareta Card|Magic Knight Rayearth|RG Veda|X OVA|Chobits: Chibits|xxxHOLiC Movie: Manatsu no Yoru no Yume|Tsubasa Chronicle: Torikago no Kuni no Himegimi|xxxHOLiC|Tsubasa Chronicle 2nd Season|Tokyo Babylon|Cardcaptor Sakura: Kero-chan ni Omakase!|Fushigi no Kuni no Miyuki-chan|Magic Knight Rayearth II|Code Geass: Hangyaku no Lelouch|Clamp Gakuen Tanteidan|Code Geass: Hangyaku no Lelouch Picture Drama|Rayearth|Suteki desu wa, Sakura-chan! Tomoyo no Cardcaptor Sakura Katsuyaku Video Nikki!"
"Hosoda, Mamoru",100067,7213,1844,7213,13,6,13,0,Director|Original Creator,464|2236|2290|2397|2961|5681|8493|12355|13423|28805|36936|44807|60610,One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima|Toki wo Kakeru Shoujo|Superflat Monogram|Digimon Adventure: Bokura no War Game!|Digimon Adventure Movie|Summer Wars|Gegege no Kitarou: Kitarou no Yuurei Densha|Ookami Kodomo no Ame to Yuki|Fushigi Sekai Atagoul Monogatari|Bakemono no Ko|Mirai no Mirai|Ryuu to Sobakasu no Hime|Hateshinaki Scarlet
"Yamada, Naoko",102498,7185,3695,7185,13,0,13,0,Director,5680|6862|7791|9617|9734|16417|21647|28851|35566|35677|49738|52085|53747,K-On!|K-On!: Live House!|K-On!!|K-On! Movie|K-On!!: Keikaku!|Tamako Market|Tamako Love Story|Koe no Katachi|Koe no Katachi Specials|Liz to Aoi Tori|Heike Monogatari|Garden of Remembrance|Kimi no Iro
NISIOISIN,100254,0,7142,7142,23,23,0,0,Original Creator|Original Story,5081|6594|9260|11597|11761|14527|15689|17074|21855|28025|31181|31757|31758|32268|33263|35076|35247|36999|37139|40752|56609|57864|59612,Bakemonogatari|Katanagatari|Kizumonogatari I: Tekketsu-hen|Nisemonogatari|Medaka Box|Medaka Box Abnormal|Nekomonogatari: Kuro|Monogatari Series: Second Season|Hanamonogatari|Tsukimonogatari|Owarimonogatari|Kizumonogatari II: Nekketsu-hen|Kizumonogatari III: Reiketsu-hen|Koyomimonogatari|Kubikiri Cycle: Aoiro Savant to Zaregotozukai|Juuni Taisen|Owarimonogatari 2nd Season|Zoku Owarimonogatari|Koyomi History|Bishounen Tanteidan|Kizumonogatari: Koyomi Vamp|Monogatari Series: Off & Monster Season|Monogatari Series: Off & Monster Season - Zankoku Douwa: Utsukushi-hime
"Imaishi, Hiroyuki",97349,7081,2664,7081,13,1,13,0,Director|Original Creator,974|2001|4103|4107|4565|8795|18679|21659|32681|35848|39991|42310|52293,Dead Leaves|Tengen Toppa Gurren Lagann|Oval x Over|Tengen Toppa Gurren Lagann Movie 1: Gurren-hen|Tengen Toppa Gurren Lagann Movie 2: Lagann-hen|Panty & Stocking with Garterbelt|Kill la Kill|Kill la Kill Specials|Uchuu Patrol Luluco|Promare|Promare: Galo-hen|Cyberpunk: Edgerunners|New Panty & Stocking with Garterbelt
"Yazawa, Ai",96894,6552,3507,6552,5,5,0,0,Original Creator,322|852|877|3512|7578,Paradise Kiss|Gokinjo Monogatari|Nana|Tenshi Nanka ja Nai|Gokinjo Monogatari the Movie
"Oshimi, Shuuzou",101579,6149,3484,6149,1,1,0,0,Original Creator,16201,Aku no Hana
"Akasaka, Aka",97139,5938,3811,5938,8,8,0,0,Original Creator|Original Story,37999|40591|43608|43609|52034|52198|55791|61903,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen|Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen|Kaguya-sama wa Kokurasetai: Ultra Romantic|Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA|[Oshi no Ko]|Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai|[Oshi no Ko] 2nd Season|Kaguya-sama wa Kokurasetai: Otona e no Kaidan
"ABe, Yoshitoshi",96991,5280,2510,5280,5,1,0,5,Original Character Design|Original Creator,26|339|387|800|35835,Texhnolyze|Serial Experiments Lain|Haibane Renmei|NieA Under 7|RErideD: Tokigoe no Derrida
"Nasu, Kinoko",98250,5159,2528,5159,26,25,0,1,Original Creator|Original Story|Original Character Design,169|356|2593|3782|3783|4280|4282|5204|5205|6624|6922|6954|12565|22297|22763|25537|28701|30091|33049|33050|34321|38084|38085|38086|40206|41497,Shingetsutan Tsukihime|Fate/stay night|Kara no Kyoukai Movie 1: Fukan Fuukei|Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen)|Kara no Kyoukai Movie 3: Tsuukaku Zanryuu|Kara no Kyoukai Movie 4: Garan no Dou|Kara no Kyoukai Movie 5: Mujun Rasen|Kara no Kyoukai Movie 6: Boukyaku Rokuon|Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go)|Kara no Kyoukai Remix: Gate of Seventh Heaven|Fate/stay night Movie: Unlimited Blade Works|Kara no Kyoukai Movie 8: Shuushou|Fate/Prototype|Fate/stay night: Unlimited Blade Works|Kara no Kyoukai Movie: Mirai Fukuin - Extra Chorus|Fate/stay night Movie: Heaven's Feel - I. Presage Flower|Fate/stay night: Unlimited Blade Works 2nd Season|Chaos Dragon: Sekiryuu Seneki|Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly|Fate/stay night Movie: Heaven's Feel - III. Spring Song|Fate/Grand Order: First Order|Fate/Grand Order: Zettai Majuu Sensen Babylonia|Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; Agateram|Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram|Fate/Grand Order: Zettai Majuu Sensen Babylonia - Initium Iter
"Takahashi, Rumiko",96891,5152,1965,5152,50,46,0,4,Original Creator|Original Character Design,210|249|418|449|450|451|452|511|620|792|1007|1008|1010|1011|1058|1293|1328|1453|1481|1919|1920|1921|1922|1923|1924|1925|2016|2017|2018|2459|2460|2486|2973|3484|3787|4886|5013|5493|6566|6567|6713|6811|28423|31610|34106|48505|50710|54829|59145|60564,"Ranma ½|InuYasha|Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!|InuYasha Movie 4: Guren no Houraijima|InuYasha Movie 2: Kagami no Naka no Mugenjou|InuYasha Movie 3: Tenka Hadou no Ken|InuYasha Movie 1: Toki wo Koeru Omoi|Kidou Shinsengumi Moeyo Ken TV|Takahashi Rumiko Gekijou Ningyo no Mori|Ranma ½: Kessen Tougenkyou! Hanayome wo Torimodose!|Ranma ½ OVA|Ranma ½: Yomigaeru Kioku|Ranma ½: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou|Ranma ½ Super|Kidou Shinsengumi Moeyo Ken|Urusei Yatsura|1 Pound no Fukuin|Maison Ikkoku|Urusei Yatsura: Haru da, Tobidase!|Urusei Yatsura OVA|Urusei Yatsura Movie 1: Only You|Urusei Yatsura 2: Beautiful Dreamer|Urusei Yatsura Movie 3: Remember My Love|Urusei Yatsura Movie 4: Lum The Forever|Urusei Yatsura Movie 5: Kanketsu-hen"
"Oshii, Mamoru",99097,5094,2281,5094,21,5,17,0,Director|Original Creator,43|468|570|885|1095|1096|1289|1920|1921|2388|3060|3089|4639|4640|4672|5386|7664|9001|9629|39990|49351,Koukaku Kidoutai|Innocence|Jin-Rou|Tenshi no Tamago|Kidou Keisatsu Patlabor the Movie|Kidou Keisatsu Patlabor 2 the Movie|Kidou Keisatsu Patlabor: New OVA|Urusei Yatsura Movie 1: Only You|Urusei Yatsura 2: Beautiful Dreamer|Tachiguishi Retsuden|Dallos|The Sky Crawlers|Gosenzo-sama Banbanzai!|Maroko|Koukaku Kidoutai 2.0|Miyamoto Musashi: Souken ni Haseru Yume|Nils no Fushigi na Tabi (Movie)|Je T'aime|Cyborg 009: The Reopening|Vlad Love|The Fullmoon Tradition: Indra Pilot Film
