character_name,character_id_anilist,character_id_mal,character_favorites_mal,character_favorites_anilist,character_favorites,anime_count,anime_ids,voice_actor_names
"Mochizuki, Michiru",330197,190646,0,17,17,1,56768,"Hondo, Kaede"
"Momoi, Kenzou",188751,88729,17,8,17,1,18119,"Koyama, Rikiya"
"Moon, June",339592,,0,17,17,1,55848,"Itou, Shizuka"
"Moriss, Mike",326720,243019,0,17,17,1,56285,"Ono, Atsushi"
"Munakata, Mira",5481,5481,17,5,17,1,746,"Midorikawa, Hikaru"
"Murakami, Youta",175643,157029,0,17,17,1,39463,"Terashima, Takuma"
"Nagumo, Anna",127938,207876,0,17,17,1,49376,"Hieda, Nene"
"Nakamoto, Chousuke",,179572,17,0,17,1,41120,"Kamiya, Akira"
"Nakamura, Teruaki",326185,242448,0,17,17,1,55842,"Ootsuka, Takeo"
"Nakaumi, Shuuji",,165927,17,0,17,1,44961,"Yamashita, Daiki"
"Nanao, Kozue",38551,38551,17,17,17,1,1453,"Tominaga, Miina"
"Narihisago, Ayako",160104,177593,0,17,17,1,40046,"Endou, Aya"
"Naruse, Ichika",130965,167177,13,17,17,1,38797,"Furuki, Nozomi"
"Nase, Fumino",385406,280790,0,17,17,1,61930,"Shimamura, Yuu"
"Natsume, Sakura",355578,217153,0,17,17,1,52709,"Kanemoto, Hisako"
"Nephilim, Dione",177106,184179,0,17,17,1,40708,"Kanemoto, Hisako"
Nigredo,139673,128574,10,17,17,1,48895,"Inoue, Kikuko"
"Nikaido, Hitomi",199384,95335,17,10,17,1,21349,"Habuki, Risato"
"Nishi, Hayato",23487,23487,0,17,17,1,5684,"Matsumoto, Yasunori"
"Nishikiori, Michiru",5259,5259,17,9,17,1,1808,"Ishida, Akira"
"Nishimori, Kozue",343191,254411,0,17,17,1,59425,"Tsuchiya, Rio"
"Nishiwaki, Yuko",9991,,0,17,17,1,31149,"Satou, Satomi"
"Nonohara, Mio",218076,140306,17,14,17,1,32620,"Asami, Hotori"
"Noumi, Sanae",42095,42095,17,13,17,1,9721,"Ichimura, Oma"
"Obermayer, Hans",120713,143996,17,2,17,1,33433,KENN
"Ogino, Mika",89432,138099,0,17,17,1,32245,"Seto, Asami"
"Oka, Eitarou",210791,193678,14,17,17,1,48406,"Nishiyama, Koutarou"
"Oosaka, Akari",187188,186139,0,17,17,1,42571,"Shimizu, Ayaka"
"Orsini, Lorenzo",19255,19255,17,2,17,1,5984,"Nomura, Kenji"
"Oshigiri, Sakura",162374,173070,0,17,17,1,37926,"Toda, Megumi"
"Ouzora, Nanae",123721,207313,0,17,17,1,36052,"Kobayashi, Mii|Sakura, Yuki"
Pac-Man,,150998,17,0,17,1,28595,"Terasaki, Yuka"
"Panda, Full-time",58697,58697,17,8,17,1,12815,"Konishi, Katsuyuki"
Pantalone,,137094,17,0,17,1,37447,"Nakata, Jouji"
"Parker, Angelo",154934,143626,0,17,17,1,40128,"Enoki, Junya"
"Pei-Pei, Lau",133419,,0,17,17,1,37979,"Hikasa, Youko"
Persona,,6086,17,0,17,1,74,"Miki, Shinichiro"
Piggymaru,,247283,17,0,17,1,57892,"Tsukui, Ayami"
Potemkin,,177365,17,0,17,1,3791,"Namikawa, Daisuke"
"Rabbit, Vanilla the",14767,14767,0,17,17,1,1816,"Aoki, Sayaka"
"Rais, Gilles De",66885,66885,17,4,17,1,16890,"Toriumi, Kousuke"
"Reeve, Orlando",87313,87313,0,17,17,1,53127,"Hatano, Wataru"
"Robo, Doorman",359326,,0,17,17,1,59675,"Touchi, Hiroki"
"Robo, Kankyou Check",359327,,0,17,17,1,59675,"Miki, Shinichirou"
Romana,288327,218114,0,17,17,1,53179,"Hikasa, Youko"
"Rossetti, Dahliya",,213386,17,0,17,1,56449,"Oonishi, Saori"
Ryuu-chan,318362,233225,0,17,17,1,54431,"Izawa, Shiori"
Sacchi,,162594,17,0,17,1,34612,"Shimabukuro, Miyuri"
"Saginomiya, Megumi",123746,161402,0,17,17,1,35931,"Katou, Yuri|Hara, Maika"
"Saikawa, Tsuzuru",301084,226873,9,17,17,1,54792,"Eguchi, Takuya"
"Saionji, Touko",284791,217094,0,17,17,1,52717,"Kazahana, Mashiro"
"Saitou, Fuuka",49851,49851,0,17,17,1,17397,"Nakahara, Mai"
"Sakigake, Komao",321819,238098,0,17,17,1,55358,"Yamaguchi, Kappei"
"Sakura, Noa",89694,133065,13,17,17,1,31498,"Oomori, Nichika"
"Sakurai, Takayuki",148034,174376,0,17,17,1,37972,"Sakurai, Takahiro"
Saraato,176430,137717,17,13,17,1,32595,"Ichimichi, Mao"
"Sasahara, Satsuki",151971,139288,14,17,17,1,34902,"Uchida, Maaya"
"Sawakiguchi, Misaki",59981,59981,17,10,17,1,12189,"Ise, Mariya"
"Sawyer, Tom",9485,9485,15,17,17,1,2577,"Nozawa, Masako"
"Sayamagaoka, Chiyo",356813,242191,0,17,17,1,61142,"Murakami, Manatsu"
"Schuwald, Hans Georg",8620,8620,0,17,17,1,19,"Hazama, Michio"
"Segawa, Asaka",228673,97649,17,10,17,1,21001,"Tanaka, Ryouko"
Shalk,315325,,0,17,17,1,54449,"Petersdorf, Josh"
"Shichigusa, Nanako",4392,4392,10,17,17,1,816,"Yamamoto, Maria"
"Shimao, Atsushi",60163,60163,12,17,17,1,13585,"Fukuyama, Jun"
Shurelia,8752,8752,17,10,17,1,1202,"Sakai, Kanako"
Shuriya,83839,83843,0,17,17,1,11617,"Hirata, Mana"
Sofiel,167947,149217,0,17,17,1,30736,"Sakamoto, Maaya"
"Sokotani, Hajime",169620,144815,0,17,17,1,44961,"Maeno, Tomoaki"
Soyon,18424,18424,17,7,17,1,5420,"Hirata, Eriko"
"St. Piria, Ecarlate Juptris",65967,65967,16,17,17,1,14765,"Mikami, Shiori"
Suffolk,152447,186930,0,17,17,1,49793,"Uehara, Akari"
"Sugawara, Shouko",73349,73349,10,17,17,1,13601,"Taketatsu, Ayana"
"Suzaku, Akemi",189795,186909,11,17,17,1,40052,"Takashima, Gara"
"Taiga, Kurumi",327012,243250,0,17,17,1,57508,"Youmiya, Hina"
"Takishima, Sui",15031,15031,17,12,17,1,3470,"Shimizu, Kaori"
"Tanaka, Kaori",30499,30499,12,17,17,1,7724,"Nagashima, Haruka"
"Temari, Kanna",166448,142999,17,13,17,1,31764,"Hayama, Ikumi"
"Tetdrich, Matthew",89561,137776,17,7,17,1,31764,"Majima, Junji"
"Thorndyke, Christopher",,12065,17,0,17,1,1816,"Morita, Masakazu"
"Tiedoll, Froi",9631,9631,15,17,17,1,1482,"Hashi, Takaya"
"Timiano, Felicia",305955,117293,0,17,17,1,56690,"Yamamura, Hibiku"
Todo,202872,219649,0,17,17,1,49709,"Watanabe, Akeno"
"Tsuchiya, Kei",2547,2547,10,17,17,1,334,"Ishida, Akira"
"Tsuzuki, Shiori",17756,17756,17,10,17,1,935,"Itou, Shizuka"
"Tyson, Jerry",189956,,0,17,17,1,51369,"Simões, Márcio"
"Uchiha, Naori",,94735,17,0,17,1,1735,"Higashiuchi, Mariko"
"Ueno, Chiaki",,251868,17,0,17,1,59120,"Takakuwa, Marika"
"Uesaka, Ayane",123679,158301,0,17,17,1,35512,"Yuuki, Honoka"
"Unibell, Stella",174788,140055,17,8,17,1,31402,"Taneda, Risa"
"Uryuu, Shingo",39290,39290,0,17,17,1,10397,"Mizushima, Daichuu"
"VIII, Rani",176974,155909,0,17,17,1,33047,"Sanada, Asami"
"Wakasa, Rumi",,159065,17,0,17,1,235,"Hirano, Fumi"
"Wanijima, Kaito",3748,3748,17,11,17,1,857,"Midorikawa, Hikaru"
"Warlock, Cassandra Jill",785,785,17,6,17,1,1498,"Sawashiro, Miyuki"
"Winslet, Lavian",288357,217816,0,17,17,1,48441,"Koichi, Makoto"
"Woodward, Nathalie",,165314,17,0,17,1,41361,"Ootani, Rinka"
"X, Man",,166167,17,0,17,1,37991,"Shirokuma, Hiroshi"
"Yahisa, Tsukiko",30580,30580,17,1,17,1,7705,"Orikasa, Fumiko"
"Yamamoto, Nana",1167,1167,17,4,17,1,1222,"Yurin, Chiaki"
"Yanagihara, Misato",89366,139659,0,17,17,1,31043,"Kino, Hina"
"Yodogawa, Masumi",392025,207143,10,17,17,1,58811,"Tamaru, Atsushi"
"Yu, Zimo",224977,,0,17,17,1,38917,"Wang, Cong"
"Yuan, Fang",28679,,17,16,17,1,41220,"Wu, Lei"
Yufa,2438,2438,17,5,17,1,417,"Mizuki, Nana"
"Yui, Kaoru",137886,138401,0,17,17,1,38731,"Murase, Ayumu"
Zarc,271310,,17,9,17,1,21639,"Ono, Kenshou"
Zelshione,208652,196127,0,17,17,1,31845,"Asakawa, Yuu"
"Zenfis, Natalia",313884,231839,0,17,17,1,52969,"Gotou, Yuuko"
"du Galbraith, Aristide Rogier",,260052,17,0,17,1,60162,"Ban, Taito"
Chika,144863,43964,0,16,16,19,359|1629|1852|3604|5684|6984|7062|9645|11239|16526|17739|28387|30187|34052|38301|39589|41205|45665|60987,"Numazawa, Ryouko|Kobayashi, Ai|Kugimiya, Rie|Amano, Yuri|Sakuma, Rei|Tsushima, Mizuho|Oomori, Nichika|Yashima, Sarara|Tomioka, Misako|Tomita, Miyu|Lynn|Fukuhara, Ayaka"
Daniel,38596,38596,16,9,16,17,495|771|789|1816|1891|2230|2279|2334|3199|15863|33025|37245|40526|53026|54632|54803|56731,"Kikuchi, Hidehiro|Itou, Kentarou|Shimizu, Ai|Shindou, Naomi|Takagi, Wataru|Shimizu, Mari|Utsumi, Kenji|Ikeda, Masaru|Takato, Yasuhiro|Suzuki, Chihiro|Imaruoka, Atsushi|Midorikawa, Hikaru|Tsuji, Shinpachi|Matsukawa, Hiroki|Sakai, Koudai"
Nakayama,203440,293672,16,2,16,15,135|322|616|789|3002|3342|7062|11239|12189|15809|29829|32729|34494|38080|39966,"Saitou, Mizuki|Yamakawa, Kotomi|Takagi, Wataru|Yaguchi, Asami|Koyama, Rikiya|Shimura, Tomoyuki|Fukuen, Misato|Yuuki, Aoi|Murata, Taishi|Satou, Rina|Mineta, Hiromu|Nakazawa, Masatomo|Muro, Genki|Miyajima, Emi"
Rina,17580,17580,0,16,16,13,3167|5612|6985|7058|7276|7465|18455|29941|34972|36873|37302|51736|59424,"Itou, Miki|Kanai, Mika|Ohmoto, Makiko|Hikasa, Youko|Hitomi|Mizuguchi, Matsuri|Iizuka, Mayu|Amamiya, Sora|Takahashi, Minami|Sumi, Tomomi Jiena|Yamada, Natsumi|Ishikawa, Yui"
Taniguchi,257,257,16,9,16,13,849|2037|4062|4382|5028|5118|7311|9943|14657|24159|26351|41946|50307,"Shiraishi, Minoru|Hase, Arihiro|Tsukada, Masaaki|Douzaka, Kouzou|Yusa, Kouji|Shinomiya, Gou|Takagi, Wataru|Tomoe, Seiko|Arai, Ryouhei"
Madoka,146649,188501,0,16,16,12,2075|3391|4131|8524|39463|41379|44511|48626|51940|55709|59466|62352,"Niwa, Shihori|Takizawa, Kumiko|Kouda, Mariko|Suzuki, Tomiko|Iwata, Mitsuo|Ogura, Yui|Mutou, Tadashi|Kobayashi, Maki|Ichimichi, Mao|Yuuki, Aoi"
Man,237204,87807,16,0,16,12,941|1571|4723|9884|11135|14853|23309|31240|34712|36492|58125|59597,"Taniyama, Kishou|Tachibana, Shinnosuke|Nishikawa, Ikuo|Nakano, Hiroshi|Maeda, Takeshi|Yamadera, Kouichi|Yasumoto, Hiroki|Yamamoto, Kanehira|Furukawa, Makoto|Yonai, Yuuki|Oka, Kouta|Watanuki, Ryuunosuke"
"Sasada, Jun",14414,14414,0,16,16,10,4081|5300|10379|11665|18849|20651|32983|34591|36538|55823,"Sawashiro, Miyuki"
"Chouhi, Ekitoku",6913,6913,10,16,16,9,1956|2905|4196|7580|8507|11255|26183|38425|49342,"Chihara, Minori"
Gaia,11026,129534,16,16,16,9,80|791|1091|2462|10937|39592|50431|51693|60449,"Masamune, Issei|Kinomiya, Ryouko|Tokumaru, Kan|Gouri, Daisuke|Ichijou, Kazuya|Izumi, Fuuka|Chang, Rongshan|Koshimizu, Ami|Ueda, Youji"
Molly,223618,14772,0,16,16,9,1816|2815|3035|3809|8986|35062|36038|40040|52274,"Kuwashima, Houko|Sakamoto, Chika|Koujiro, Chie|Mukaidono, Asami|Hikami, Kyouko|Sakuma, Rei|Noto, Mamiko|Picciolina|Morinaga, Chitose"
Osamu,13244,233803,0,16,16,9,2044|2592|5249|6281|9499|28149|31043|48252|49392,"Nishimura, Tomohiro|Matsumoto, Yasunori|Tano, Megumi|Kousaka, Atsushi|Nakahara, Shigeru|Yamadera, Kouichi|Nanase, Ayaka|Matsuyama, Takashi"
"Senkawa, Chihiro",89880,71277,0,16,16,9,23587|30344|32174|35346|37422|38211|38767|41299|51234,"Satou, Rina"
"Truniht, Job",19474,19474,16,8,16,9,820|3014|3016|31433|36369|36370|36371|42886|51805,"Ishizuka, Unshou|Anzai, Kazuhiro"
"Yukihiro, Ayaka",996,996,13,16,16,9,157|1546|1619|1732|3948|4188|6050|7135|33478,"Minagawa, Junko"
Amano,,255529,16,0,16,8,135|558|1565|1573|2330|5834|28735|40610,"Ishinami, Yoshito|Hatano, Wataru|Terauchi, Yorie|Tsumura, Makoto|Kikuchi, Shouko|Akashi, Hajime|Yamaguchi, Kappei|Sekine, Hitomi"
"Kamio, Akira",2719,2719,16,4,16,8,22|814|995|2752|4053|10862|11371|13245,"Suzuki, Chihiro"
"Seto, Tomari",204870,191362,0,16,16,8,42516|48862|49819|49820|52079|54143|54144|54145,"Toono, Hikaru|Tono, Hikaru"
"Hazakura, Mai",87347,87347,0,16,16,7,15583|17641|19163|24655|36633|41461|52196,"Tsumita, Kayoko"
"Kakouen, Myousai",20628,20628,12,16,16,7,1956|4196|5333|7580|8507|11255|26183,"Kitamura, Eri"
"Kasei, Joushuu",77753,77753,0,16,16,7,13601|21339|23281|37440|39491|40858|52747,"Sakakibara, Yoshiko"
"Kazuki, Mai",13412,13412,11,16,16,7,2038|2080|3932|5246|8431|8443|33358,"Obata, Youko|Sugiyama, Kazuko|Hisakawa, Aya"
Kazumi,19868,220282,16,1,16,7,103|1072|1281|2043|4722|21407|56980,"Sakurai, Tomo|Kakinuma, Shino|Takano, Naoko|Kawashima, Chiyoko|Mikami, Shiori|Fujimura, Ayumi|Miyazaki, Yuu"
Myouga,,1361,16,0,16,7,249|450|451|452|6811|41911|48505,"Ogata, Kenichi"
Taro,362050,11096,16,0,16,7,339|1491|2746|5293|9781|17265|22319,"Takimoto, Keito|Komiyama, Kiyoshi|Kakihara, Tetsuya|Shiozawa, Kaneto|Yamamoto, Keiko|Muro, Genki|Taketora"
"Toushirou, Midare",161402,134400,16,9,16,7,33023|34863|36444|40320|47777|51859|58894,"Yamamoto, Kazutomi|Shutou, Yukina"
"Asakura, Joe",17952,17952,15,16,16,6,2389|3153|3154|6374|6375|36197,"Sasaki, Isao|Ishii, Kouji|Suzuki, Kazuma"
"Cazellnu, Alex",22635,22635,0,16,16,6,820|3016|3665|31433|36369|42886,"Yamada, Keaton|Kawashima, Tokuyoshi"
Gakuenchou,35532,,0,16,16,6,1280|1858|3219|14283|32982|57533,"Doi, Mika|Hayashibara, Megumi|Satou, Ai|Kikumoto, Taira|Kisaragi, Haruo|Fukuyama, Jun"
"Kuroda, Yukinari",121329,111859,13,16,16,6,18179|24277|31783|35789|35880|50552,"Azusagawa, Tsukino|Nojima, Kenji"
Lara,77659,77659,15,16,16,6,1436|23311|28539|34613|40974|45486,"Hisakawa, Aya|Aiba, Madoka|Ichimura, Saki"
Mikko,90087,134758,16,12,16,6,18617|33970|38081|39166|39167|61227,"Ishigami, Miho"
Pii-chan,39797,39797,16,15,16,6,9624|40526|51692|52482|54198|58199,"Kitamura, Eri|Izawa, Shiori|Tanezaki, Atsumi|Yuuki, Aoi"
Ranran,259070,182075,0,16,16,6,39049|42994|48643|52006|55237|61672,"Tanaka, Minami|Momotsuki, Nashiko|Ootani, Ikue"
Sibuxiang,308557,4661,16,11,16,6,1108|36029|54974|55821|58555|59385,"Kusao, Takeshi|Sakurai, Takahiro|Ajie|Jin, Xian"
"Blue, General",2138,2138,16,16,16,5,223|225|892|893|3312,"Furukawa, Toshio|Shimada, Bin|Kazama, Nobuhiko"
Cynthia,192740,132395,0,16,16,5,81|1347|1818|2142|54519,"Honda, Chieko|Kasahara, Hiroko|Miyagawa, Miho|Takaguchi, Yukiko|Tonane, Aoi"
"Date, Kyousuke",2976,2976,16,6,16,5,615|920|921|1048|3849,"Saiga, Mitsuki"
"Dullindal, Gilbert",,1267,16,0,16,5,94|1215|1241|2294|49073,"Ikeda, Shuuichi"
Dune,17699,129605,16,11,16,5,86|2251|4981|5233|7645,"Inaba, Minoru|Okada, Mitsutoshi|Nakano, Yuuto|Utsumi, Kenji|Midorikawa, Hikaru"
Eugen,180643,143746,0,16,16,5,1474|31629|36587|40873|41574,"Nakagi, Ryuuji|Fujiwara, Keiji|Yamaji, Kazuhiro"
Floren,16940,16940,16,14,16,5,2150|2313|5712|8234|8235,"Kanai, Mika|Mutou, Reiko"
"Frakken, Wolf",87483,87483,16,5,16,5,12029|23249|23931|33064|40389,"Nakata, Jouji"
Glenda,7054,7054,14,16,16,5,327|33286|37449|40485|49316,"Matsuoka, Yuki|Watada, Misaki"
"Haneyama, Urara",272713,216608,0,16,16,5,49819|49820|52079|54144|54145,"Kagami, Karin"
"Ikeda, Kana",22088,22088,16,7,16,5,5671|7759|10884|16123|27709,"Morinaga, Rika"
"Samonji, Souza",140499,134411,0,16,16,5,33023|34863|47777|51859|58894,"Tai, Yuuki"
Selene,182789,255639,0,16,16,5,343|4521|28833|32794|41834,"Amano, Yuri|Hara, Eriko|Uchida, Maaya|Tsuru, Hiromi|Nagatsuma, Juri"
Suzuran,140454,87521,0,16,16,5,2444|36754|50338|51371|58091,"Mizusawa, Kei|Uchida, Maaya|Toono, Hikaru|Uemura, Yuuto|Ichiryuusai, Teiyuu"
Suzushiro,67727,67727,0,16,16,5,1694|16091|40958|44583|50338,"Akesaka, Satomi|Kondou, Yui|Uesaka, Sumire|Takada, Yuuki"
"Takamori, Aiko",129282,116905,0,16,16,5,35883|37422|38211|51234|51536,"Kaneko, Yuki|Kaneko, Yuuki"
Taroutachi,140498,134261,16,11,16,5,33023|34863|36444|47777|51859,"Tai, Yuuki"
"Toraishi, Izumi",139326,129034,12,16,16,5,30375|33033|33362|36536|36537,KENN
Toutousai,,1362,16,0,16,5,249|451|6811|41911|48505,"Yanami, Jouji|Tatsuta, Naoki"
Arakawa,2327,2327,0,16,16,4,226|849|4382|5118,"Ishihara, Eriko|Forest, Michael|Ootsuka, Akio"
Bao,15758,15758,0,16,16,4,889|1519|4901|8440,"Saitou, Shirou"
Beni,158096,119205,0,16,16,4,23067|23333|40958|44583,"Asano, Masumi|Gotou, Keisuke|Kurosawa, Tomoyo"
Bushinyan,217443,206347,0,16,16,4,19157|24591|28257|32222,"Kozakura, Etsuko|Valença, Carol"
"Date, Ryuusei",,8408,16,0,16,4,1544|1603|4075|9241,"Miki, Shinichiro"
"Deitz, Melda",87119,87119,12,16,16,4,12029|23249|23931|40389,"Itou, Shizuka"
Dita,3476,3476,0,16,16,4,59|878|33048|35851,"Tokumitsu, Yuka|Nakao, Eri|Hikasa, Youko"
Eru,285155,13306,16,0,16,4,2923|5262|5276|7082,"Hyo-sei|Iwamura, Kotomi"
"Gokou, Hinata",84687,84687,11,16,16,4,8769|13659|18857|32901,"Hanazawa, Kana"
"Hakase, Araragi",36771,,0,16,16,4,9107|14093|17115|17873,"Shindou, Naomi|Regina, Márcia"
"Herikawa, Koishi",4544,4544,12,16,16,4,195|196|443|524,"Kawasumi, Ayako"
Juliana,15372,15372,0,16,16,4,2528|25431|28833|33728,"Ogata, Megumi|Fujii, Yukiyo|Koiwai, Kotori"
"Kaname, Tomohisa",39784,39784,0,16,16,4,9756|11977|11979|11981,"Iwanaga, Tetsuya"
"Kun-Kun, Detective",,13367,16,0,16,4,64|65|1719|2237,"Tsukui, Kyousei"
"Matsubara, Honoka",213696,88709,10,16,16,4,16732|23269|33034|41471,"Suwa, Ayaka"
"Miyoshi, Aoi",30851,30851,16,4,16,4,6973|8800|8840|10201,"Yoshino, Hiroyuki"
"Mouse, Sailor Iron",12418,12418,11,16,16,4,996|8756|13931|51716,"Hara, Eriko|Koizumi, Sena"
"Mozart, Wolfgang Amadeus",78851,78851,0,16,16,4,13935|36652|38084|40206,"Yanaka, Hiroshi|Yamashita, Seiichirou|Seki, Tomokazu"
"Myoujou, Erika",,259401,16,0,16,4,54142|54143|54144|54145,"Yukimura, Eri"
Nataku,447,447,16,14,16,4,155|156|595|2685,"Matsumoto, Rica|Kumai, Motoko|Takayama, Minami"
Nell,220111,120591,11,16,16,4,3877|21177|40526|49891,"Ichiryuusai, Harumi|Kido, Ibuki|Fukuen, Misato|Ookubo, Rumi"
Ponoka,74207,74207,16,9,16,4,16169|23551|25439|34295,"Kayano, Ai"
"Saegusa, Yukika",142730,114969,0,16,16,4,22297|27821|36914|37033,"Nakao, Eri"
"Sugai, Hinata",5019,5019,16,11,16,4,591|886|1749|1750,"Shintani, Ryouko"
"Vadim, Viletta",25061,25061,16,4,16,4,1544|1603|4075|9241,"Tanaka, Atsuko"
Zaruba,125177,113373,0,16,16,4,23311|28537|28539|36144,"Kageyama, Hironobu"
"Adachi, Emily",7917,7917,15,16,16,3,857|3791|9201,"Ishii, Shouko|Kobayashi, Yuu"
"Alai, Mohammad",186670,166530,0,16,16,3,34443|39555|51318,"Tanaka, Hideyuki|Mendes, Vanderlan"
"Alcott, Louisa May",,140166,16,0,16,3,32867|38003|50330,"Ueda, Hikaru"
"Amami, Mamoru",14589,14589,0,16,16,3,890|1382|4416,"Itou, Maiko"
"Asahi, Gou",133190,125669,0,16,16,3,32182|37504|37510,"Kuwahata, Yuusuke|Kumazawa, Gentoku"
Bazuso,49343,49343,16,13,16,3,33|10218|52976,"Sawaki, Ikuya|Kobayashi, Kendou"
"Beppu, Akihiko",159927,141931,16,12,16,3,31417|35182|59406,"Koumoto, Keisuke"
"Bryant, Regal",16082,16082,16,7,16,3,5306|8909|8995,"Ootsuka, Akio"
Café,26196,26196,0,16,16,3,6586|8894|9441,"Misawa, Sachika"
Carne,130152,102889,0,16,16,3,28|37991|38972,"Konishi, Katsuyuki|Sakaguchi, Daisuke"
"Clute, Guscle",252730,,0,16,16,3,46985|51495|53595,"Inada, Tetsu"
Cobalt,42250,42250,0,16,16,3,2291|2747|50284,"Emori, Hiroko|Komiyama, Kiyoshi|Ura, Kazuki"
"Daidouji, Sonomi",29244,29244,0,16,16,3,232|372|33354,"Itou, Miki"
Daishinkan,181118,150922,16,0,16,3,30694|32979|37885,"Takatsuka, Masaya|Ono, Atsushi"
"Evolution, Neco Arc",,52205,16,0,16,3,10012|12187|15927,"Nojima, Kenji"
"Fahrenheit, Adalbert von",12896,12896,13,16,16,3,31433|36369|42886,"Takeuchi, Ryouta"
Gentleman,288423,,0,16,16,3,50060|54854|57614,"Morikubo, Shoutarou"
Groshular,,143760,16,0,16,3,33337|35720|39610,"Suwabe, Junichi"
Hamaguchi,163023,184360,0,16,16,3,38993|49721|49722,"Uchiyama, Kouki"
"Hiiragi, Nemu",158075,201583,0,16,16,3,38256|41530|49291,"Morohoshi, Sumire"
Hinoto,1006,1006,16,10,16,3,155|156|595,"Minaguchi, Yuko|Hisakawa, Aya"
"Hirai, Yukari",1958,1958,16,6,16,3,355|1815|3221,"Asano, Masumi"
Hisame,136547,211505,0,16,16,3,594|40908|49709,"Gi, Ryouko|Kaida, Yuuko|Kusunoki, Tomori"
"Historia, Menou",211743,186123,0,16,16,3,40496|48417|48418,"Kakuma, Ai"
Hung,264028,223993,10,16,16,3,53852|55093|60200,"Hino, Satoshi"
"Imhof, Kasha",3070,3070,0,16,16,3,930|2760|2761,"Shiraishi, Fuyumi"
"Jr., Terry Sanders",1326,1326,0,16,16,3,81|83|17717,"Genda, Tesshou"
"Kamishiro, Karen",125955,162327,0,16,16,3,37204|39078|41555,"Tadokoro, Azusa"
"Kato, Otome",,4085,16,0,16,3,756|2476|3759,"Nagami, Haruka"
"Kichijouji, Shinkurou",88186,75988,0,16,16,3,20785|45572|50713,"Murase, Ayumu"
"Kikyou, Rio",150311,175558,0,16,16,3,40677|45731|49471,"Morishima, Shuuta"
"Kukui, Doctor",,145399,16,0,16,3,34034|40351|42174,"Fujimura, Chika|Nakagawa, Keiichi"
"Kuronuma, Mr.",29979,,0,16,16,3,6045|9656|56538,"Matsuyama, Takashi"
"Kutani, Ryou",53879,53879,16,12,16,3,12461|14645|16928,"Nomiya, Kazunori"
Lilithmon,70377,70377,0,16,16,3,8624|10444|49515,"Kuwashima, Houko|Sonozaki, Mie"
"Liqueur, Katsumi",6085,6085,16,9,16,3,1517|2099|2100,"Matsui, Naoko"
Long,71283,71283,16,1,16,3,14913|19877|37522,"Kanda, Akemi|Yusa, Kouji"
Mahoutsukai,237118,,0,16,16,3,30782|37349|59901,"Ishiya, Haruki|Koiwai, Kotori|Amamiya, Sora"
"Makino, Haruka",37476,37476,16,14,16,3,9308|20849|28309,"Takahashi, Ao"
"Matisse, Matilda",20407,20407,0,16,16,3,154|42205|51673,"Hanba, Tomoe|Minami, Wakana"
"Misaki, Kyouko",26616,255792,11,16,16,3,3816|50694|61926,"Kanai, Mika|Takamoto, Megumi"
"Mizusaka, Yuzuki",88644,105181,0,16,16,3,23209|30919|38891,"Toyosaki, Aki"
Moo-tan,136333,118497,15,16,16,3,28221|31070|37346,"Matsui, Eriko"
"Murase, Dai",123977,148054,16,14,16,3,34474|37008|43771,"Umehara, Yuuichirou"
Naka,172233,112423,16,10,16,3,21511|31418|38328,"Sakura, Ayane|Fujimura, Konomi"
"Odinson, Thor",154721,93989,0,16,16,3,21013|34975|37151,"Kase, Yasuyuki"
"Orwell, William",,35850,16,0,16,3,8937|36432|39094,"Touchi, Hiroki"
Rokumon,23226,23226,16,11,16,3,28423|31610|34106,"Nabatame, Hitomi"
Sagat,9480,9480,14,16,16,3,876|1362|38422,"Ginga, Banjou|Sasaoka, Shigezou|Vieira, João"
"Sakurabara, Momo",152054,177838,0,16,16,3,38483|40807|40936,"Taneda, Risa"
"Sayama, Rena",137895,170630,0,16,16,3,36871|39935|51653,"Morohoshi, Sumire"
"Schnaufer, Heidemarie W.",56517,56517,16,9,16,3,9751|23725|39987,"Ueda, Kana"
Scientist,,129872,16,0,16,3,522|3619|35230,"Sugita, Tomokazu|Satou, Masaharu|Kaho, Narumi"
"Shiba, Miki",83461,83461,0,16,16,3,15809|48413|53200,"Saitou, Kimiko"
Shimura,89794,257093,0,16,16,3,838|32093|33004,"Nishizawa, Hiroka|Okitsu, Kazuyuki"
"Shinguuji, Moena",13608,13608,16,11,16,3,2324|2325|4946,"Neya, Michiko|Uchikawa, Ai"
Sig,181281,90669,16,6,16,3,25183|38656|57058,"Izawa, Shiori|Mizunaka, Masaaki|Miki, Shinichiro|Miki, Shinichirou"
"Sophia-Ri, Sola-Ui Nuada-Re",16032,16032,0,16,16,3,10087|11741|19165,"Toyoguchi, Megumi"
Souji,37625,37625,0,16,16,3,7588|34540|53213,"Houki, Katsuhisa|Hongou, Kanata|Hongo, Kanata|Hayama, Shouta"
"Tachibana, Sho",174767,137819,0,16,16,3,938|5292|43741,"Asakawa, Yuu|Kobayashi, Yuuko"
"Takanashi, Tsubasa",288425,212218,0,16,16,3,50060|54854|57614,"Tomita, Miyu"
"Tandoji, Alma",43755,43755,16,12,16,3,10156|11635|13927,"Terashima, Takuma"
Volleybu-chan,248977,,0,16,16,3,34213|49854|49866,"Ishigami, Shizuka"
"Ye, Jinxuan",,183546,16,0,16,3,37618|49847|51203,"Sawai, Machi"
