character_name,character_id_anilist,character_id_mal,character_favorites_mal,character_favorites_anilist,character_favorites,anime_count,anime_ids,voice_actor_names
"Ii, Naomasa",,47987,0,0,0,4,11547|18771|28283|33032,"Kajikawa, Shohei|Sugita, Tomokazu|Konishi, Katsuyuki|Mamiya, Yasuhiro"
"Imai, Kouji",,1550,0,0,0,4,837|4078|4903|6379,"Asakawa, Yuu|Yamato, Megumi"
Inahime,37038,37038,0,0,0,4,8961|10324|21497|28283,"Kobayashi, Yuu|Ohmoto, Makiko"
Ine,28430,28430,0,0,0,4,212|1296|1297|1298,"Takamori, Yoshino"
Interpreter,250857,206554,0,0,0,4,1329|5237|33012|33046,"Ishii, Kouji|Kawamura, Maria|Massuru, Rikiya|Nakamura, Chie"
Irita,22555,22555,0,0,0,4,1135|1174|5702|6169,"Ortiz, Lisa|Tsuchiya, Maki"
Iwaki,260719,247093,0,0,0,4,395|3006|7610|30649,"Shirokuma, Hiroshi|Midorikawa, Hikaru|Mehrens, Timm"
"Jaba, Jabao",,164428,0,0,0,4,5274|22827|22979|22981,"Shioya, Yoku"
"Jii-chan, Ashibe no",152577,,0,0,0,4,32571|34979|37368|39457,"Kishio, Daisuke"
Jiiji,,237356,0,0,0,4,3975|24459|30911|36936,"Kurita, Kei|Ogata, Kenichi|Yakusho, Kouji"
"Jito, Hiroshi",186318,159370,0,0,0,4,2116|2117|2122|36934,"Horikawa, Ryo|Matsumoto, Yasunori|Hirakawa, Daisuke"
Johannes,,110579,0,0,0,4,478|2170|6032|10370,"Aomori, Shin|Chiba, Isshin"
Jones,181522,26108,0,0,0,4,1415|2551|6917|16586,"Ishizuka, Unshou|Ootaki, Shinya|Hashi, Takaya|Sugiyama, Ryouichi"
Joseito,386147,,0,0,0,4,3480|21179|43969|57915,"Itou, Miho|Tano, Megumi|Asano, Noriko|Miyahara, Satsuki|Gotou, Ayasa|Aihara, Kotomi|Suyama, Emiri"
"Kaa-chan, Ashibe no",152574,,0,0,0,4,32571|34979|37368|39457,"Akasaki, Chinatsu"
