voice_actor_name,voice_actor_id_anilist,voice_actor_id_mal,voice_actor_favorites_mal,voice_actor_favorites_anilist,voice_actor_favorites,anime_count,main_role_count,supporting_role_count,anime_ids,anime_titles
"Fujino, Kaoru",107140,,1,0,1,2,1,1,1407|3624,Stainless Night|Seimei no Kagaku: Micro Patrol
"Gilbertson, Onalea",109533,,0,1,1,2,1,1,2285|12483,D.I.C.E.|Gregory Horror Show: The Last Train
"Tanaka, Nobuyuki",113339,,1,0,1,2,1,1,185|1224,Initial D First Stage|Aquarian Age: Sign for Evolution
"Kim, Hyang-Lee",114994,,0,1,1,2,1,1,12863|21707,Pretty Rhythm: Dear My Future|Pretty Rhythm Movie: All Star Selection - Prism Show☆Best Ten
"Sugimura, Kenji",115178,,1,1,1,2,1,1,32596|35656,The Snack World (TV)|Oshiri Tantei
"Nam, Do-Hyeong",116639,,0,1,1,2,1,1,55725|59382,4-ju Aein|Horangi Deureowayo
"Togawa, Mai",123729,,0,1,1,2,1,1,33322|44211,JK Bitch ni Shiboraretai|Rikujoubu Joshi wa Ore no Nama Onaho!!! The Animation
"Kaneko, Yuki",133547,,0,1,1,2,1,1,35313|35883,Kemono Friends 2|Cinderella Girls Gekijou 2nd Season
Ikkan,137396,,0,1,1,2,1,1,30777|34866,Kaijuu Sakaba Kanpai!|Yu☆Gi☆Oh! VRAINS
"Katou, Ryou",140677,,0,1,1,2,1,1,36073|37426,Aiseki Mogol Girl|Sarazanmai
"Santamaria, Yuusuke",140678,,0,1,1,2,1,1,19115|38234,Giovanni no Shima|One Piece Movie 14: Stampede
"Maeno, Tomoya",146041,,0,1,1,2,1,1,40331|54603,Ongaku|Bakeneko Anzu-chan
"Yoshine, Kyouko",147030,,0,1,1,2,1,1,37828|55874,Bokura no Nanokakan Sensou|Doraemon Movie 43: Nobita no Chikyuu Symphony
"Takasugi, Kaoru",156205,,0,1,1,2,1,1,37948|58635,Hentatsu|Kagari Hibana
"Mori, Hiroko",179007,,1,0,1,2,1,1,1550|4044,Attack No.1|Youkai Ningen Bem
"Otohata, Mina",185763,,1,1,1,2,1,2,40436|42946,Peter Grill to Kenja no Jikan|Kusoge tte Iuna! Animation
"Jiang, Wen",188838,,0,1,1,2,1,1,36848|37618,Aishen Qiaokeli-ing...II|Meng Qi Shi Shen
"Komatsu, Housei",191269,,1,1,1,2,1,1,5293|6978,Time Slip Ichimannen: Prime Rose|Kyoufu Densetsu Kaiki! Frankenstein
"Jang, Ye-Na",216931,,0,1,1,2,1,2,42004|62540,Super Secret|Yonghansonyeo
"N, Xiao",217599,,0,1,1,2,1,1,47614|49275,Nu Wushen de Canzhuo Spring Festival Special|Renou Xueyuan
Dabai,220532,,0,1,1,2,1,2,38990|40979,Chuan Shu Zijiu Zhinan|Yingxiong Zai Lin
"Minamino, Kaori",221177,,0,1,1,2,1,0,437|839,Perfect Blue|Samurai Spirits 2: Asura Zanmaden
"Lee, Sae-Ah",245880,,0,1,1,2,1,1,42004|59382,Super Secret|Horangi Deureowayo
"Itokawa, Youjirou",256740,,0,1,1,2,1,1,49691|50139,Gunjou no Fanfare|Disney Twisted-Wonderland The Animation: Episode of Heartslabyul
"Honda, Chikara",264220,,0,1,1,2,1,1,49590|50854,"Yojouhan Time Machine Blues|Benriya Saitou-san, Isekai ni Iku"
"Zeng, Mengyu",282005,,0,1,1,2,1,1,41503|50544,Jintian Kaishi Shanyao Dengchang|Long She Yanyi
"Hidenori, Sakaki",105853,10853,1,0,1,2,1,1,15|6418,Eyeshield 21|Eyeshield 21: Jump Festa 2005 Special
"Kunimoto, Takeharu",96674,1674,0,1,1,2,1,1,464|3193,One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima|Asobot Senki Gokuu
"Gotou, Satoshi",113475,18475,1,0,1,2,1,1,455|1516,Fantastic Children|Kirarin☆Revolution
"Tochihara, Rakuto",114972,19972,1,0,1,2,1,1,369|3508,Boogiepop wa Warawanai|Genius Party
"Kitaooji, Kinya",,23497,1,0,1,2,1,1,7610|8475,Anju to Zushioumaru|Asura
"Asakura, Kouji",170383,24179,1,0,1,2,1,1,3870|12763,Kick no Oni|0-sen Hayato
"Maki, Kyousuke",201971,24783,1,0,1,2,1,1,2542|11405,Lady Georgie|Skyers 5
"Nishimoto, Hiroyuki",295608,26585,1,0,1,2,1,1,8234|8235,Muumin|Muumin (1972)
"Matsuyuki, Chizuru",,28535,1,0,1,2,1,1,838|3578,Narutaru: Mukuro Naru Hoshi Tama Taru Ko|Daraku: Onna Kyoushi Hakai
"Nagao, Rihoko",135629,31105,1,0,1,2,1,1,2405|2730,Hello! Lady Lynn|1+2=Paradise
"Kazuki, Yayoi",168139,37725,0,1,1,2,1,1,431|12951,Howl no Ugoku Shiro|AWOL
"Tachibana, Meemu",143019,39673,1,1,1,2,1,1,31890|38009,Nurse Witch Komugi-chan R|Re:Stage! Dream Days♪
"Nakamura, Aya",327850,39955,0,1,1,2,1,1,25907|60334,Glass no Hana to Kowasu Sekai|Anne Shirley
"Nakadai, Yoshikazu",154625,41990,1,0,1,2,1,1,31815|32309,"Kono Danshi, Mahou ga Oshigoto desu.|Tabi Machi Late Show"
"Maeno, Tomoya",146041,45719,0,1,1,2,1,1,33204|40331,Hirune Hime: Shiranai Watashi no Monogatari|Ongaku
"Maezuka, Atsushi",,47012,1,0,1,2,1,2,825|35204,King of Fighters: Another Day|The King of Fighters: Destiny
"Sakai, Yasunao",149407,47172,1,1,1,2,1,1,34542|40488,Inuyashiki|Futsal Boys!!!!!
"Ishihara, Eriko",100097,5097,0,1,1,2,1,1,148|226,Kita e.: Diamond Dust Drops|Elfen Lied
"Hirasawa, Kokoro",,52679,1,0,1,2,1,1,42143|50553,Aya to Majo|Yaneura no Rudger
"Imamura, Keiko",100488,5488,1,1,1,2,1,1,106|386,Hana yori Dango|H2
"Abe, Hisayo",286952,56850,1,0,1,2,1,1,51147|53263,"Idol Bu Show Movie|Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi"
"Akazawa, Tomoru",,60030,1,0,1,2,1,1,39184|40272,A3! Season Spring & Summer|A3! Season Autumn & Winter
"Nakajima, Michiyo",101226,6226,1,0,1,2,1,1,61|3036,D.N.Angel|Tobe! Isami
