mal_id,anilist_id,title,type,staff_id_anilist,staff_name,staff_role,staff_role_group,staff_language,staff_favorites_mal,staff_favorites_anilist,staff_favorites,source,staff_group_key
1290,1290.0,WXIII Kidou Keisatsu Patlabor,Movie,133256,HEADGEAR,Original Creator,original_creator,Japanese,0,42,42,AniList,staff_id_anilist:133256
1290,1290.0,WXIII Kidou Keisatsu Patlabor,Movie,97011,"Yuuki, Masami",Original Creator,original_creator,Japanese,24,33,33,AniList,staff_id_anilist:97011
1290,1290.0,WXIII Kidou Keisatsu Patlabor,Movie,141092,"Endou, Takuji",Director,director,Japanese,0,0,0,AniList,staff_id_anilist:141092
1290,1290.0,WXIII Kidou Keisatsu Patlabor,Movie,100559,"Takada, Akemi",Original Character Design,original_character_design,Japanese,112,127,127,AniList,staff_id_anilist:100559
1290,1290.0,WXIII Kidou Keisatsu Patlabor,Movie,97011,"Yuuki, Masami",Original Character Design,original_character_design,Japanese,24,33,33,AniList,staff_id_anilist:97011
1292,1292.0,Afro Samurai,TV,101144,"Okazaki, Takashi",Original Creator,original_creator,Japanese,33,28,33,AniList,staff_id_anilist:101144
1292,1292.0,Afro Samurai,TV,107199,"Kizaki, Fuminori",Director,director,Japanese,7,9,9,AniList,staff_id_anilist:107199
1293,1293.0,Urusei Yatsura,TV,96891,"Takahashi, Rumiko",Original Creator,original_creator,Japanese,5152,1965,5152,AniList,staff_id_anilist:96891
1295,1295.0,A-Ko The Versus,OVA,103059,"Nishijima, Katsuhiko",Director,director,Japanese,13,33,33,AniList,staff_id_anilist:103059
1296,1296.0,Project A-Ko 2: Daitokuji Zaibatsu no Inbou,OVA,103059,"Nishijima, Katsuhiko",Original Creator,original_creator,Japanese,13,33,33,AniList,staff_id_anilist:103059
1296,1296.0,Project A-Ko 2: Daitokuji Zaibatsu no Inbou,OVA,100658,"Moriyama, Yuuji",Director,director,Japanese,12,21,21,AniList,staff_id_anilist:100658
1297,1297.0,Project A-Ko 3: Cinderella Rhapsody,OVA,103059,"Nishijima, Katsuhiko",Original Creator,original_creator,Japanese,13,33,33,AniList,staff_id_anilist:103059
1297,1297.0,Project A-Ko 3: Cinderella Rhapsody,OVA,100658,"Moriyama, Yuuji",Director,director,Japanese,12,21,21,AniList,staff_id_anilist:100658
1298,1298.0,Project A-Ko 4: Final,OVA,100658,"Moriyama, Yuuji",Director,director,Japanese,12,21,21,AniList,staff_id_anilist:100658
1299,1299.0,Flag,ONA,100957,"Takahashi, Ryousuke",Original Creator,original_creator,Japanese,243,157,243,AniList,staff_id_anilist:100957
1299,1299.0,Flag,ONA,161051,"Terada, Kazuo",Director,director,Japanese,0,0,0,AniList,staff_id_anilist:161051
1300,1300.0,Omishi Mahou Gekijou: Risky★Safety,TV,96970,"Omishi, Rei",Original Creator,original_creator,Japanese,0,2,2,AniList,staff_id_anilist:96970
1300,1300.0,Omishi Mahou Gekijou: Risky★Safety,TV,103187,"Masunari, Kouji",Director,director,Japanese,0,16,16,AniList,staff_id_anilist:103187
1300,1300.0,Omishi Mahou Gekijou: Risky★Safety,TV,96970,"Omishi, Rei",Original Character Design,original_character_design,Japanese,0,2,2,AniList,staff_id_anilist:96970
1301,1301.0,Ginga Tetsudou 999 (Movie),Movie,97597,"Matsumoto, Leiji",Original Creator,original_creator,Japanese,1232,498,1232,AniList,staff_id_anilist:97597
1301,1301.0,Ginga Tetsudou 999 (Movie),Movie,102305,Rintarou,Director,director,Japanese,187,182,187,AniList,staff_id_anilist:102305
1302,1302.0,Sayonara Ginga Tetsudou 999: Andromeda Shuuchakueki,Movie,97597,"Matsumoto, Leiji",Original Creator,original_creator,Japanese,1232,498,1232,AniList,staff_id_anilist:97597
1302,1302.0,Sayonara Ginga Tetsudou 999: Andromeda Shuuchakueki,Movie,102305,Rintarou,Director,director,Japanese,187,182,187,AniList,staff_id_anilist:102305
1303,1303.0,The Animatrix,OVA,251182,"Wachowski, Lana",Original Creator,original_creator,Japanese,0,7,7,AniList,staff_id_anilist:251182
1303,1303.0,The Animatrix,OVA,251181,"Wachowski, Lilly",Original Creator,original_creator,Japanese,0,7,7,AniList,staff_id_anilist:251181
1312,1312.0,Chikyuu Bouei Kigyou Dai-Guard,TV,100083,"Mizushima, Seiji",Director,director,Japanese,127,42,127,AniList,staff_id_anilist:100083
1312,1312.0,Chikyuu Bouei Kigyou Dai-Guard,TV,235262,"Kanno, Hiroshi",Original Character Design,original_character_design,Japanese,1,0,1,AniList,staff_id_anilist:235262
1313,1313.0,Digimon Adventure 02,TV,141183,"Kakudou, Hiroyuki",Director,director,Japanese,23,7,23,AniList,staff_id_anilist:141183
1314,1314.0,DT Eightron,TV,104826,"Amino, Tetsurou",Director,director,Japanese,13,7,13,AniList,staff_id_anilist:104826
1316,1316.0,Idaten Jump,TV,196639,"Fujiwara, Toshihiro",Original Creator,original_creator,Japanese,0,3,3,AniList,staff_id_anilist:196639
1316,1316.0,Idaten Jump,TV,101952,"Hamana, Takayuki",Director,director,Japanese,11,6,11,AniList,staff_id_anilist:101952
1317,1317.0,Eyeshield 21: Maboroshi no Golden Bowl,Special,96902,"Inagaki, Riichirou",Original Story,original_creator,Japanese,0,311,311,AniList,staff_id_anilist:96902
1317,1317.0,Eyeshield 21: Maboroshi no Golden Bowl,Special,96903,"Murata, Yuusuke",Original Character Design,original_character_design,Japanese,3,2813,2813,AniList,staff_id_anilist:96903
1324,1324.0,Earthian,OVA,96944,"Kouga, Yun",Original Creator,original_creator,Japanese,188,53,188,AniList,staff_id_anilist:96944
1324,1324.0,Earthian,OVA,96944,"Kouga, Yun",Original Character Design,original_character_design,Japanese,188,53,188,AniList,staff_id_anilist:96944
1325,1325.0,Hamelin no Violin Hiki,TV,101837,"Nishimura, Junji",Director,director,Japanese,20,18,20,AniList,staff_id_anilist:101837
1327,1327.0,Aoki Densetsu Shoot!,TV,97734,"Ooshima, Tsukasa",Original Creator,original_creator,Japanese,0,1,1,AniList,staff_id_anilist:97734
1327,1327.0,Aoki Densetsu Shoot!,TV,101823,"Nishio, Daisuke",Director,director,Japanese,22,11,22,AniList,staff_id_anilist:101823
1328,1328.0,1 Pound no Fukuin,OVA,96891,"Takahashi, Rumiko",Original Creator,original_creator,Japanese,5152,1965,5152,AniList,staff_id_anilist:96891
1328,1328.0,1 Pound no Fukuin,OVA,100393,"Dezaki, Osamu",Director,director,Japanese,1783,1111,1783,AniList,staff_id_anilist:100393
1329,1329.0,Ohoshi-sama no Rail,Movie,117533,"Hirata, Toshio",Director,director,Japanese,7,15,15,AniList,staff_id_anilist:117533
1331,1331.0,Dragon Pink,OVA,104714,Itoyoko,Original Creator,original_creator,Japanese,1,4,4,AniList,staff_id_anilist:104714
1336,1336.0,Kyoushoku Soukou Guyver II,OVA,98093,"Takaya, Yoshiki",Original Creator,original_creator,Japanese,17,6,17,AniList,staff_id_anilist:98093
1337,1337.0,Dororon Enma-kun,TV,97992,"Nagai, Gou",Original Creator,original_creator,Japanese,0,1153,1153,AniList,staff_id_anilist:97992
1337,1337.0,Dororon Enma-kun,TV,106596,"Yabuki, Kimio",Director,director,Japanese,2,1,2,AniList,staff_id_anilist:106596
1338,1338.0,Shin Megami Tensei: Tokyo Mokushiroku,OVA,98100,"Suzuki, Kazunari",Original Story,original_creator,Japanese,0,0,0,AniList,staff_id_anilist:98100
1338,1338.0,Shin Megami Tensei: Tokyo Mokushiroku,OVA,101617,"Yamasaki, Osamu",Director,director,Japanese,14,6,14,AniList,staff_id_anilist:101617
1338,1338.0,Shin Megami Tensei: Tokyo Mokushiroku,OVA,97342,"Ogishima, Chiaki",Original Character Design,original_character_design,Japanese,0,0,0,AniList,staff_id_anilist:97342
1340,1340.0,Yami no Shihoukan Judge,OVA,100345,"Hosono, Fujihiko",Original Creator,original_creator,Japanese,4,10,10,AniList,staff_id_anilist:100345
1340,1340.0,Yami no Shihoukan Judge,OVA,101228,"Negishi, Hiroshi",Director,director,Japanese,3,5,5,AniList,staff_id_anilist:101228
1341,1341.0,Violence Jack: Harem Bomber-hen,OVA,97992,"Nagai, Gou",Original Creator,original_creator,Japanese,0,1153,1153,AniList,staff_id_anilist:97992
1341,1341.0,Violence Jack: Harem Bomber-hen,OVA,103268,"Itano, Ichirou",Director,director,Japanese,100,92,100,AniList,staff_id_anilist:103268
1341,1341.0,Violence Jack: Harem Bomber-hen,OVA,155388,"Kamijou, Osamu",Director,director,Japanese,1,0,1,AniList,staff_id_anilist:155388
1342,1342.0,Violence Jack: Jigoku Gai-hen,OVA,97992,"Nagai, Gou",Original Creator,original_creator,Japanese,0,1153,1153,AniList,staff_id_anilist:97992
1342,1342.0,Violence Jack: Jigoku Gai-hen,OVA,103268,"Itano, Ichirou",Director,director,Japanese,100,92,100,AniList,staff_id_anilist:103268
1343,1343.0,Violence Jack: Hell's Wind-hen,OVA,97992,"Nagai, Gou",Original Creator,original_creator,Japanese,0,1153,1153,AniList,staff_id_anilist:97992
1343,1343.0,Violence Jack: Hell's Wind-hen,OVA,196570,"Wada, Takuya",Director,director,Japanese,0,0,0,AniList,staff_id_anilist:196570
1344,1344.0,Eightman After,OVA,130813,"Kuwata, Jirou",Original Creator,original_creator,Japanese,1,16,16,AniList,staff_id_anilist:130813
1344,1344.0,Eightman After,OVA,135494,"Kogawa, Toshiyasu",Director,director,Japanese,0,1,1,AniList,staff_id_anilist:135494
1346,1346.0,AD Police,OVA,101158,"Suzuki, Toshimichi",Original Creator,original_creator,Japanese,0,7,7,AniList,staff_id_anilist:101158
1346,1346.0,AD Police,OVA,98640,"Takezaki, Tony",Original Character Design,original_character_design,Japanese,5,8,8,AniList,staff_id_anilist:98640
1347,1347.0,Bubblegum Crisis,OVA,101158,"Suzuki, Toshimichi",Original Creator,original_creator,Japanese,0,7,7,AniList,staff_id_anilist:101158
1348,1348.0,Bubblegum Crash,OVA,101158,"Suzuki, Toshimichi",Original Story,original_creator,Japanese,0,7,7,AniList,staff_id_anilist:101158
1349,1349.0,A.D. Police (TV),TV,98640,"Takezaki, Tony",Original Creator,original_creator,Japanese,5,8,8,AniList,staff_id_anilist:98640
1349,1349.0,A.D. Police (TV),TV,117587,"Ueda, Hidehito",Director,director,Japanese,4,3,4,AniList,staff_id_anilist:117587
1351,1351.0,Angel Cop,OVA,103268,"Itano, Ichirou",Director,director,Japanese,100,92,100,AniList,staff_id_anilist:103268
1352,1352.0,Cyber City Oedo 808,OVA,100812,"Kawajiri, Yoshiaki",Director,director,Japanese,827,307,827,AniList,staff_id_anilist:100812
1353,1353.0,The Urotsuki,OVA,101414,"Maeda, Toshio",Original Creator,original_creator,Japanese,94,49,94,AniList,staff_id_anilist:101414
1355,1355.0,Makyuu Senjou,OVA,187664,"Takeshima, Shou",Original Story,original_creator,Japanese,0,0,0,AniList,staff_id_anilist:187664
1355,1355.0,Makyuu Senjou,OVA,134780,"Ishida, Masahisa",Director,director,Japanese,0,0,0,AniList,staff_id_anilist:134780
1356,1356.0,Hokuto no Ken 2,TV,97848,"Okamura, Yoshiyuki",Original Creator,original_creator,Japanese,0,167,167,AniList,staff_id_anilist:97848
1356,1356.0,Hokuto no Ken 2,TV,97847,"Hara, Tetsuo",Original Character Design,original_character_design,Japanese,333,152,333,AniList,staff_id_anilist:97847
1357,1357.0,Shin Hokuto no Ken,OVA,97848,"Okamura, Yoshiyuki",Original Story,original_creator,Japanese,0,167,167,AniList,staff_id_anilist:97848
1357,1357.0,Shin Hokuto no Ken,OVA,101722,"Watanabe, Takashi",Director,director,Japanese,71,28,71,AniList,staff_id_anilist:101722
