guarded_rank,mal_id,title,type,score,members,episodes,duration,total_watch_minutes,aired_year,genres,demographics,rating,relations,mylist_hybrid_score,mylist_latent_score,popularity_score
72,38668,Dorohedoro,TV,8.05,648377,12.0,23.0,276.0,2020.0,Action|Comedy|Fantasy|Horror|Gourmet|Sci-Fi|Adventure|Romance|Sports|Mystery,Seinen,R - 17+ (violence & profanity),Sequel:57779,0.39412856,0.00048686512,0.75774676
73,9047,Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato desu kara,OVA,7.44,71090,1.0,34.0,34.0,2010.0,Action|Fantasy|Sci-Fi|Girls Love|Comedy|Romance,Seinen,PG-13 - Teens 13 or older,Parent Story:6213,0.39326844,0.0005200554,0.69950724
74,32887,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,TV,7.09,490662,12.0,23.0,276.0,2017.0,Action|Adventure|Fantasy|Comedy|Romance,,PG-13 - Teens 13 or older,Parent Story:28121,0.392745,0.00049087586,0.74217814
75,8142,Colorful (Movie),Movie,7.74,215547,1.0,127.0,127.0,2010.0,Award Winning|Drama|Gourmet|Fantasy|Comedy|Romance|Slice of Life,Kodomo,PG-13 - Teens 13 or older,,0.39206955,0.00048858504,0.7412992
76,400,Seihou Bukyou Outlaw Star,TV,7.83,171449,24.0,25.0,600.0,1998.0,Action|Adventure|Comedy|Sci-Fi|Gourmet|Boys Love|Fantasy|Romance|Sports,Seinen,R+ - Mild Nudity,Spin-Off:1226,0.3912356,0.00050252327,0.71368986
77,21843,Shingeki no Bahamut: Genesis,TV,7.61,439332,12.0,24.0,288.0,2014.0,Action|Adventure|Fantasy|Horror|Comedy|Romance,,R - 17+ (violence & profanity),Sequel:34642|Sequel:30736,0.39012885,0.00044108854,0.8034981
78,433,"Kumo no Mukou, Yakusoku no Basho",Movie,7.41,232801,1.0,90.0,90.0,2004.0,Award Winning|Drama|Romance|Sci-Fi|Action|Slice of Life,Seinen,PG-13 - Teens 13 or older,,0.38935858,0.0004549221,0.77647895
79,36038,Net-juu no Susume,TV,7.51,512938,10.0,23.0,230.0,2017.0,Comedy|Romance|Fantasy|Adventure|Slice of Life,Josei,PG-13 - Teens 13 or older,,0.38872933,0.0004294073,0.8126471
80,19703,Kyousou Giga (TV),TV,7.69,210221,10.0,25.0,250.0,2013.0,Action|Fantasy|Adventure|Comedy|Slice of Life,,PG-13 - Teens 13 or older,,0.3878547,0.00049780065,0.69862133
81,34280,Gamers!,TV,6.72,703214,12.0,24.0,288.0,2017.0,Comedy|Romance|Sports,,PG-13 - Teens 13 or older,,0.38502395,0.000423326,0.7975649
82,2164,Dennou Coil,TV,8.02,159891,26.0,25.0,650.0,2007.0,Adventure|Award Winning|Drama|Mystery|Sci-Fi|Action|Horror|Comedy|Romance|Sports,,G - All Ages,,0.38478574,0.00048604043,0.6967658
83,39468,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,TV,7.96,375971,14.0,23.0,322.0,2019.0,Fantasy|Action|Comedy|Slice of Life,Shoujo,PG-13 - Teens 13 or older,Sequel:40815|Side Story:40841,0.3838075,0.0004648056,0.72383684
84,793,xxxHOLiC Movie: Manatsu no Yoru no Yume,Movie,7.92,71313,1.0,60.0,60.0,2005.0,Comedy|Drama|Mystery|Supernatural|Fantasy|Horror|Suspense,Seinen,PG-13 - Teens 13 or older,Parent Story:861,0.38312703,0.0004702259,0.71072567
85,40839,"Kanojo, Okarishimasu",TV,6.83,1093448,12.0,24.0,288.0,2020.0,Comedy|Romance,Shounen,PG-13 - Teens 13 or older,Sequel:42963,0.38198277,0.00042521127,0.77430797
