user_level,method,evaluated_users,median_profile_size,hit_rate_at_12,recall_at_12,ndcg_at_12,map_at_12,mean_reciprocal_rank,median_rank,mean_rank
Casual,advanced_split_item_knn,5520,95.0,0.7713768115942029,0.7713768115942029,0.5062746725750407,0.42468824502791896,0.43298995405987056,4.0,11.819384057971014
Casual,advanced_split_latent_svd,5520,95.0,0.9519927536231884,0.9519927536231884,0.7689023914432066,0.7101962298973169,0.7120214130058543,1.0,4.1951086956521735
Casual,advanced_split_level_tuned_hybrid,5520,95.0,0.970108695652174,0.970108695652174,0.7823822963212116,0.7220948093774181,0.7234767897187381,1.0,2.981702898550725
Casual,advanced_split_popularity_baseline,5520,95.0,0.8541666666666666,0.8541666666666666,0.5718443461019571,0.4844129114645419,0.491500784502551,3.0,6.403079710144928
Casual,catboost_yetirank,5520,95.0,0.9739130434782609,0.9739130434782609,0.7917817785344248,0.7330371912708868,0.7343376101307015,1.0,2.6170289855072464
Casual,gbdt_signal_reranker,5520,95.0,0.9733695652173913,0.9733695652173913,0.7898696119977747,0.7307759792542401,0.7321273020195986,1.0,2.630253623188406
Casual,implicit_als_cf,5520,95.0,0.9684782608695652,0.9684782608695652,0.8051007723796939,0.7521698676725851,0.7533382353928059,1.0,3.3152173913043477
Casual,lightgbm_lambdarank,5520,95.0,0.9757246376811595,0.9757246376811595,0.7914498626152967,0.7321477521069912,0.7333520153636673,1.0,2.5882246376811593
Casual,neural_mlp_reranker,5520,95.0,0.9744565217391304,0.9744565217391304,0.7915852409651354,0.7328101211389254,0.7341257493312278,1.0,2.601086956521739
Casual,pointwise_logistic_reranker,5520,95.0,0.9740942028985508,0.9740942028985508,0.7861616119868825,0.7257748878536923,0.7270541169757802,1.0,2.673731884057971
Casual,torch_feature_mlp_reranker,5520,95.0,0.9740942028985508,0.9740942028985508,0.7920609167352164,0.7333931250914947,0.7347259145346735,1.0,2.5831521739130436
Casual,torch_two_tower_cf,5520,95.0,0.12355072463768116,0.12355072463768116,0.06542000862394294,0.04916977094966225,0.07127973273602789,46.0,47.142753623188405
Casual,xgboost_pairwise_ranker,5520,95.0,0.9751811594202898,0.9751811594202898,0.791247894331162,0.7319390985423594,0.7331955859634183,1.0,2.576630434782609
Fan,advanced_split_item_knn,6234,248.0,0.5819698427975618,0.5819698427975618,0.34200059658496057,0.2695394871766383,0.28391959303417486,8.0,20.34520372152711
Fan,advanced_split_latent_svd,6234,248.0,0.9380814886108437,0.9380814886108437,0.7221151430471331,0.6539148705534653,0.6566429570250959,1.0,4.451235162014758
Fan,advanced_split_level_tuned_hybrid,6234,248.0,0.9554058389477061,0.9554058389477061,0.7238753992237258,0.6506039761934853,0.6528726504170493,1.0,3.5046519088867503
Fan,advanced_split_popularity_baseline,6234,248.0,0.8152069297401348,0.8152069297401348,0.51379426572725,0.42176567684267396,0.43054478399391427,4.0,7.808790503689445
