method,evaluated_users,hit_rate_at_12,recall_at_12,ndcg_at_12,map_at_12,mean_reciprocal_rank,median_rank,mean_rank,candidate_pool_per_user,like_threshold,min_user_positives,min_item_positives,candidate_pool_definition
popularity_baseline,3000,0.3883333333333333,0.3883333333333333,0.21603530490580203,0.16440685425685425,0.17935178388287865,22.0,64.29866666666666,1001,7,5,10,1 positive + 1000 sampled negatives
item_knn_collaborative,3000,0.29733333333333334,0.29733333333333334,0.17291216656510808,0.13574854497354497,0.14822991844885897,44.0,169.08333333333334,1001,7,5,10,1 positive + 1000 sampled negatives
metadata_content,3000,0.207,0.207,0.08673300071908098,0.052272763347763346,0.06879364750911726,51.0,107.96366666666667,1001,7,5,10,1 positive + 1000 sampled negatives
people_staff_affinity,3000,0.17033333333333334,0.17033333333333334,0.09557906877489108,0.07323645983645984,0.08555048758680549,92.0,164.70433333333332,1001,7,5,10,1 positive + 1000 sampled negatives
latent_svd,1000,0.29,0.29,0.1666125486214421,0.12965000000000002,0.14121286706326805,53.5,399.273,10601,7,5,10,held-out positive ranked against all eligible catalog candidates
full_product_hybrid,1000,0.275,0.275,0.1574513834926824,0.12272236652236652,0.134312258264637,61.0,331.292,10601,7,5,10,held-out positive ranked against all eligible catalog candidates
level_tuned_product_hybrid,1000,0.26,0.26,0.14181548472429162,0.10657604617604617,0.11957295645389257,57.5,242.147,10601,7,5,10,held-out positive ranked against all eligible catalog candidates
tuned_product_hybrid,1000,0.25,0.25,0.1353207180318028,0.10144044011544011,0.11437560991290174,60.0,250.829,10601,7,5,10,held-out positive ranked against all eligible catalog candidates
graph_related,1000,0.108,0.108,0.05646851406260646,0.04123358585858585,0.05269540634971436,148.5,708.54,10601,7,5,10,held-out positive ranked against all eligible catalog candidates
item_knn_collaborative,1000,0.101,0.101,0.05527366983268573,0.04159292929292929,0.04820821381262726,450.5,1726.058,10601,7,5,10,held-out positive ranked against all eligible catalog candidates
popularity_baseline,1000,0.1,0.1,0.05172811313159952,0.03747402597402598,0.046362964169899275,226.5,668.243,10601,7,5,10,held-out positive ranked against all eligible catalog candidates
people_staff_affinity,1000,0.051,0.051,0.025878220160588102,0.01840923520923521,0.022114166789944555,1037.0,1705.492,10601,7,5,10,held-out positive ranked against all eligible catalog candidates
metadata_content,1000,0.026,0.026,0.013586021056151148,0.009929004329004329,0.014630278727056908,561.0,1149.284,10601,7,5,10,held-out positive ranked against all eligible catalog candidates
