user_level,method,evaluated_users,median_profile_size,hit_rate_at_12,recall_at_12,ndcg_at_12,map_at_12,mean_reciprocal_rank,median_rank,mean_rank
Fan,full_product_hybrid,9410,248.0,0.9357066950053134,0.9357066950053134,0.7125484662909749,0.6421385327389578,0.6452129185091227,1.0,3.9854410201912858
Fan,latent_svd,9410,248.0,0.9409139213602551,0.9409139213602551,0.7212642174237098,0.6519128088230107,0.654526870505907,1.0,4.372157279489905
Fan,item_knn_collaborative,9410,248.0,0.5822529224229543,0.5822529224229543,0.3419973263384201,0.26948245549467653,0.28383646426141923,9.0,20.345908607863976
Fan,metadata_content,9410,248.0,0.6607863974495218,0.6607863974495218,0.35023585194820006,0.25660626302496653,0.27142687228798784,7.0,12.88586609989373
Fan,graph_related,9410,248.0,0.8997874601487779,0.8997874601487779,0.5857574330086184,0.48904719734156504,0.4938457143657703,3.0,6.571944739638682
Fan,people_staff_affinity,9410,248.0,0.528480340063762,0.528480340063762,0.2798582216385,0.20632341710715782,0.22484490123306972,11.0,18.17003188097768
Fan,popularity_baseline,9410,248.0,0.8132837407013815,0.8132837407013815,0.5145955308601402,0.4232074272403709,0.43213560290498365,4.0,7.734006376195537
Veteran,level_tuned_product_hybrid,1841,669.0,0.8815860945138512,0.8815860945138512,0.6147569500149808,0.5321363318918996,0.5376363168996529,2.0,6.083650190114068
Veteran,tuned_product_hybrid,1841,669.0,0.870722433460076,0.870722433460076,0.5965651790563974,0.5117139424037849,0.5180292106491156,2.0,6.018468223791418
Veteran,full_product_hybrid,1841,669.0,0.8522542096686584,0.8522542096686584,0.6035523308656807,0.5267548222192437,0.5333962691064821,2.0,6.862031504617056
Veteran,latent_svd,1841,669.0,0.8685497012493211,0.8685497012493211,0.618428802930418,0.5411933214350378,0.5473077971177905,2.0,6.337859858772406
Veteran,item_knn_collaborative,1841,669.0,0.33242802824551876,0.33242802824551876,0.18466057074153522,0.14060373659776157,0.15751463063972124,30.0,39.97501357957632
Veteran,metadata_content,1841,669.0,0.5355784899511136,0.5355784899511136,0.2681577901745612,0.18821049793347458,0.20668348135860268,11.0,18.147202607278654
Veteran,graph_related,1841,669.0,0.7810972297664313,0.7810972297664313,0.4613046359417626,0.3643999551658433,0.37521624208594656,5.0,9.234111895708853
Veteran,people_staff_affinity,1841,669.0,0.4247691472026073,0.4247691472026073,0.21329947173007827,0.15098531289460132,0.1728847734387894,16.0,22.010320478001088
Veteran,popularity_baseline,1841,669.0,0.7093970668115155,0.7093970668115155,0.40843754308153035,0.31768031443479566,0.3303043424020572,6.0,11.56328082563824
