user_level,candidate_id,evaluated_users,hit_rate_at_12,recall_at_12,ndcg_at_12,map_at_12,mean_reciprocal_rank,median_rank,weight_latent_svd,weight_item_knn_collaborative,weight_popularity,weight_metadata_content,weight_graph_related,weight_people_staff_affinity
Beginner,20,554,0.9368231046931408,0.9368231046931408,0.76059582522075,0.7040179385395993,0.7063952088356018,1.0,0.7727,0.0095,0.0459,0.0734,0.0209,0.0777
Beginner,8,554,0.9368231046931408,0.9368231046931408,0.7599945053947422,0.7034877527206047,0.7060059905052185,1.0,0.7187,0.0227,0.1034,0.1417,0.0079,0.0056
Beginner,102,554,0.9350180505415162,0.9350180505415162,0.7721194626570043,0.7195047431509526,0.7218959927558899,1.0,0.3305,0.3915,0.083,0.0212,0.1659,0.008
Beginner,95,554,0.9350180505415162,0.9350180505415162,0.7711020122597932,0.7179195253202473,0.720293402671814,1.0,0.5338,0.1864,0.0501,0.042,0.0271,0.1607
Beginner,61,554,0.9350180505415162,0.9350180505415162,0.7684223536498772,0.7143796135673393,0.7167156338691711,1.0,0.5128,0.242,0.0246,0.1088,0.0088,0.103
Beginner,10,554,0.9350180505415162,0.9350180505415162,0.7683617447905137,0.7145996452404395,0.7168567180633545,1.0,0.5606,0.2748,0.0854,0.008,0.0458,0.0254
Beginner,42,554,0.9350180505415162,0.9350180505415162,0.7646414981838514,0.708907278040852,0.7117382884025574,1.0,0.4035,0.0418,0.1132,0.0038,0.2367,0.201
Beginner,7,554,0.9350180505415162,0.9350180505415162,0.7641924180392897,0.7089451763639489,0.7111766338348389,1.0,0.6359,0.1931,0.0251,0.1231,0.0196,0.0031
Beginner,97,554,0.9350180505415162,0.9350180505415162,0.7628847569432943,0.7069710123410485,0.7097340226173401,1.0,0.3439,0.1592,0.1855,0.0378,0.0183,0.2553
Beginner,45,554,0.9350180505415162,0.9350180505415162,0.758666498488156,0.7010536645464444,0.7038585543632507,1.0,0.3483,0.0176,0.0949,0.1848,0.1153,0.2391
Beginner,28,554,0.9350180505415162,0.9350180505415162,0.7548267775298485,0.6972045102911528,0.7005119323730469,1.0,0.2547,0.0982,0.218,0.3578,0.0211,0.0502
Beginner,114,554,0.9332129963898917,0.9332129963898917,0.7752675373956353,0.7248698303301191,0.7273008823394775,1.0,0.2532,0.4642,0.1327,0.02,0.0453,0.0846
Beginner,72,554,0.9332129963898917,0.9332129963898917,0.7623070658297623,0.7066296018462084,0.7091336846351624,1.0,0.527,0.0452,0.0272,0.1409,0.0301,0.2298
Beginner,68,554,0.9314079422382672,0.9314079422382672,0.7681608672928155,0.714628817832789,0.7174445986747742,1.0,0.3691,0.2056,0.079,0.0243,0.102,0.22
Beginner,119,554,0.9259927797833934,0.9259927797833934,0.7675011955812974,0.7163638056688598,0.7186915874481201,1.0,0.5329,0.3405,0.014,0.0035,0.053,0.0562
Beginner,15,554,0.9223826714801444,0.9223826714801444,0.7519574405881759,0.6965304801496137,0.6997408270835876,1.0,0.3913,0.0261,0.0158,0.0584,0.1835,0.3249
Beginner,62,554,0.9133574007220217,0.9133574007220217,0.6959300786292594,0.6265397658899464,0.6305182576179504,2.0,0.1147,0.0321,0.0559,0.3409,0.0965,0.3599
Casual,53,1023,0.967741935483871,0.967741935483871,0.7733875959539797,0.7113126094064511,0.7126753926277161,1.0,0.4864,0.119,0.044,0.0073,0.285,0.0584
Casual,32,1023,0.9667644183773216,0.9667644183773216,0.770624168316581,0.7083630608557294,0.7099210023880005,1.0,0.4866,0.0685,0.1696,0.0223,0.2087,0.0442
Casual,112,1023,0.9657869012707723,0.9657869012707723,0.7417585067485346,0.6701110744365877,0.6718177795410156,1.0,0.2447,0.095,0.1547,0.0964,0.3917,0.0175
Casual,26,1023,0.9648093841642229,0.9648093841642229,0.771591620160228,0.7099922207693469,0.711687445640564,1.0,0.449,0.1233,0.1671,0.042,0.1829,0.0357
Casual,66,1023,0.9648093841642229,0.9648093841642229,0.7705920848754568,0.7087886263839343,0.7106415629386902,1.0,0.1504,0.2358,0.4016,0.0685,0.0893,0.0544
Casual,84,1023,0.9648093841642229,0.9648093841642229,0.7637179256366265,0.6997271979676672,0.7013522386550903,1.0,0.4629,0.0428,0.0664,0.0653,0.3296,0.033
Casual,36,1023,0.9638318670576735,0.9638318670576735,0.7732136868154631,0.7124573129705095,0.7141448259353638,1.0,0.4576,0.1413,0.1625,0.0449,0.1255,0.0682
Casual,50,1023,0.9638318670576735,0.9638318670576735,0.7684818984803923,0.7063862335123332,0.7080813646316528,1.0,0.4833,0.1518,0.2258,0.0569,0.0794,0.0029
Casual,91,1023,0.9638318670576735,0.9638318670576735,0.7510886073096343,0.6829242713406936,0.6848291158676147,1.0,0.2136,0.1433,0.158,0.1153,0.3203,0.0495
Casual,48,1023,0.9628543499511242,0.9628543499511242,0.7715185707856638,0.7104774529261333,0.7123487591743469,1.0,0.3749,0.1588,0.2234,0.058,0.1369,0.0481
Casual,124,1023,0.9628543499511242,0.9628543499511242,0.7713302414569455,0.7102714761072532,0.711955726146698,1.0,0.4149,0.1724,0.1066,0.1409,0.1198,0.0455
Casual,29,1023,0.9618768328445748,0.9618768328445748,0.7757648006872291,0.7160586453841585,0.7176469564437866,1.0,0.4671,0.2387,0.0662,0.0043,0.2222,0.0016
Casual,56,1023,0.9618768328445748,0.9618768328445748,0.771237160937484,0.7102129731895128,0.7119967341423035,1.0,0.3933,0.1692,0.0542,0.1356,0.191,0.0567
Casual,4,1023,0.9618768328445748,0.9618768328445748,0.77030715410263,0.7091400670579556,0.7109237313270569,1.0,0.4,0.15,0.1,0.15,0.15,0.05
Casual,2,1023,0.9618768328445748,0.9618768328445748,0.7698951807994822,0.7087004312077625,0.7104761004447937,1.0,0.45,0.15,0.12,0.12,0.11,0.05
Casual,75,1023,0.9618768328445748,0.9618768328445748,0.7687083718741686,0.7072709358633111,0.7089595794677734,1.0,0.4093,0.104,0.0208,0.1392,0.1959,0.1308
Casual,82,1023,0.9618768328445748,0.9618768328445748,0.7682669345275751,0.7065456618975681,0.708370566368103,1.0,0.4629,0.0654,0.0734,0.1045,0.2458,0.048
Casual,121,1023,0.9618768328445748,0.9618768328445748,0.767112113953391,0.7050122789125721,0.7068210244178772,1.0,0.4681,0.1671,0.2552,0.0076,0.0683,0.0338
Casual,31,1023,0.9608993157380255,0.9608993157380255,0.7737716470210205,0.7137420850030821,0.7154921293258667,1.0,0.4104,0.2455,0.0897,0.0975,0.1556,0.0012
Casual,5,1023,0.9608993157380255,0.9608993157380255,0.7631255239741054,0.6998179321493104,0.7017674446105957,1.0,0.35,0.1,0.1,0.15,0.25,0.05
Casual,60,1023,0.9599217986314761,0.9599217986314761,0.7745355123944602,0.7151411122818748,0.7169016599655151,1.0,0.4332,0.2136,0.0651,0.0342,0.1551,0.0989
Casual,73,1023,0.9599217986314761,0.9599217986314761,0.7693128953059477,0.7085219250175261,0.7102195024490356,1.0,0.494,0.2002,0.1098,0.0397,0.0616,0.0946
Casual,52,1023,0.9589442815249267,0.9589442815249267,0.7706611580438292,0.7105942471778248,0.7122838497161865,1.0,0.6058,0.1079,0.0271,0.05,0.1131,0.0962
Casual,18,1023,0.9589442815249267,0.9589442815249267,0.7680017956762012,0.7069627640742011,0.7088545560836792,1.0,0.4775,0.1984,0.1801,0.0211,0.048,0.075
Casual,37,1023,0.9589442815249267,0.9589442815249267,0.7678078792959924,0.7068978783788168,0.7088977098464966,1.0,0.4773,0.057,0.068,0.0325,0.2348,0.1306
Casual,21,1023,0.9589442815249267,0.9589442815249267,0.767273794933705,0.7063047384894892,0.7082086205482483,1.0,0.608,0.0303,0.0851,0.0919,0.1746,0.0101
Casual,99,1023,0.9589442815249267,0.9589442815249267,0.7668280124823078,0.705218290995417,0.7073625922203064,1.0,0.2843,0.207,0.202,0.1513,0.1235,0.0319
