candidate_id,evaluated_users,hit_rate_at_12,recall_at_12,ndcg_at_12,map_at_12,mean_reciprocal_rank,median_rank,weight_latent_svd,weight_item_knn_collaborative,weight_popularity,weight_metadata_content,weight_graph_related,weight_people_staff_affinity,hit_at_12_Beginner,hit_at_12_Casual,hit_at_12_Fan,hit_at_12_Veteran,balanced_profile_hit_at_12
91,3000,0.951,0.951,0.7176782825058581,0.6431784151034151,0.6456431150436401,2.0,0.2136,0.1433,0.158,0.1153,0.3203,0.0495,0.9530685920577617,0.9638318670576735,0.9538590604026845,0.8744588744588745,0.9363045984942485
66,3000,0.9503333333333334,0.9503333333333334,0.7394357233916575,0.6721662337662337,0.6747002601623535,1.0,0.1504,0.2358,0.4016,0.0685,0.0893,0.0544,0.9548736462093863,0.9648093841642229,0.950503355704698,0.8744588744588745,0.9361613151342955
110,3000,0.948,0.948,0.7353853531515328,0.6677750240500241,0.6701990365982056,1.0,0.6019,0.0005,0.0646,0.0804,0.2485,0.0041,0.9476534296028881,0.9589442815249267,0.950503355704698,0.8874458874458875,0.9361367385696001
124,3000,0.9493333333333334,0.9493333333333334,0.7409927365109753,0.6743620009620009,0.676717221736908,1.0,0.4149,0.1724,0.1066,0.1409,0.1198,0.0455,0.9530685920577617,0.9628543499511242,0.9496644295302014,0.8787878787878788,0.9360938125817415
60,3000,0.9493333333333334,0.9493333333333334,0.7446762646253116,0.6790803391053392,0.6813984513282776,1.0,0.4332,0.2136,0.0651,0.0342,0.1551,0.0989,0.9458483754512635,0.9599217986314761,0.9546979865771812,0.8831168831168831,0.935896260944201
5,3000,0.9486666666666667,0.9486666666666667,0.7328372359664915,0.6639725228475228,0.6664500832557678,1.0,0.35,0.1,0.1,0.15,0.25,0.05,0.9548736462093863,0.9608993157380255,0.9488255033557047,0.8787878787878788,0.9358465860227488
21,3000,0.9476666666666667,0.9476666666666667,0.7378283118486036,0.6709632034632035,0.6733698844909668,1.0,0.608,0.0303,0.0851,0.0919,0.1746,0.0101,0.9530685920577617,0.9589442815249267,0.947986577181208,0.8831168831168831,0.9357790834701949
73,3000,0.9476666666666667,0.9476666666666667,0.7405610222801533,0.6744053270803271,0.6767544150352478,1.0,0.494,0.2002,0.1098,0.0397,0.0616,0.0946,0.9422382671480144,0.9599217986314761,0.9513422818791947,0.8874458874458875,0.9352370587761432
2,3000,0.949,0.949,0.740715154114844,0.6741112554112554,0.6765197515487671,1.0,0.45,0.15,0.12,0.12,0.11,0.05,0.9530685920577617,0.9618768328445748,0.950503355704698,0.8744588744588745,0.9349769137664773
18,3000,0.9473333333333334,0.9473333333333334,0.7400349357381301,0.6737580086580087,0.6762444376945496,1.0,0.4775,0.1984,0.1801,0.0211,0.048,0.075,0.9476534296028881,0.9589442815249267,0.9496644295302014,0.8831168831168831,0.9348447559437248
12,3000,0.945,0.945,0.7406628876784414,0.6752609066859067,0.6777864694595337,1.0,0.3525,0.3302,0.0909,0.0609,0.1534,0.012,0.9458483754512635,0.956989247311828,0.9446308724832215,0.8917748917748918,0.9348108467553014
50,3000,0.949,0.949,0.7385710732327215,0.671444733044733,0.6739038228988647,1.0,0.4833,0.1518,0.2258,0.0569,0.0794,0.0029,0.9494584837545126,0.9638318670576735,0.950503355704698,0.8744588744588745,0.9345631452439397
22,3000,0.947,0.947,0.7341210134147532,0.6664673039923039,0.6690251231193542,1.0,0.427,0.0586,0.2451,0.0556,0.2081,0.0057,0.9476534296028881,0.9560117302052786,0.9513422818791947,0.8831168831168831,0.9345310812010611
41,3000,0.9466666666666667,0.9466666666666667,0.7373260445477746,0.6707500481000481,0.6730706691741943,1.0,0.7577,0.0537,0.0852,0.0075,0.0917,0.0042,0.9494584837545126,0.9540566959921799,0.9513422818791947,0.8831168831168831,0.9344935861856926
81,3000,0.9473333333333334,0.9473333333333334,0.7387509773118324,0.6722316738816739,0.6746790409088135,1.0,0.606,0.0921,0.1289,0.0474,0.0843,0.0414,0.9494584837545126,0.9540566959921799,0.9538590604026845,0.8787878787878788,0.934040529734314
63,3000,0.9463333333333334,0.9463333333333334,0.7365131760729563,0.6698259259259259,0.6723383069038391,1.0,0.5745,0.0388,0.1612,0.0831,0.1159,0.0265,0.9512635379061372,0.956989247311828,0.947986577181208,0.8787878787878788,0.933756810296763
115,3000,0.947,0.947,0.740005727143461,0.6738102693602694,0.6762797236442566,1.0,0.5753,0.1523,0.1242,0.0494,0.0904,0.0084,0.9476534296028881,0.956989247311828,0.9513422818791947,0.8787878787878788,0.9336932093954474
107,3000,0.9466666666666667,0.9466666666666667,0.7388743759755052,0.6724571669071668,0.6748404502868652,1.0,0.5851,0.1277,0.0672,0.0663,0.0745,0.0793,0.9494584837545126,0.9560117302052786,0.950503355704698,0.8787878787878788,0.9336903621130921
13,3000,0.947,0.947,0.737946505635612,0.671264911014911,0.6737631559371948,1.0,0.549,0.0975,0.1428,0.1044,0.0948,0.0116,0.9530685920577617,0.9579667644183774,0.9488255033557047,0.8744588744588745,0.9335799335726795
70,3000,0.9466666666666667,0.9466666666666667,0.7381260325318696,0.6715050144300144,0.6739553213119507,1.0,0.622,0.1225,0.1107,0.0474,0.0799,0.0175,0.9476534296028881,0.9560117302052786,0.9513422818791947,0.8787878787878788,0.9334488301188101
3,3000,0.9466666666666667,0.9466666666666667,0.7378626566840681,0.6712817821067821,0.6736994385719299,1.0,0.65,0.1,0.1,0.05,0.07,0.03,0.9476534296028881,0.9550342130987293,0.9521812080536913,0.8787878787878788,0.9334141823857969
105,3000,0.9456666666666667,0.9456666666666667,0.7307169932709587,0.662430339105339,0.6651017665863037,1.0,0.2201,0.1939,0.3279,0.191,0.0576,0.0094,0.9512635379061372,0.9579667644183774,0.9454697986577181,0.8787878787878788,0.9333719949425279
